Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
CMPO_0000232,increased rate of cell migration process phenotype,,id,CMPO:0000232,,,Microscopy,cmpo.owl
N2193013dc6a14799b06096396e927bf4,"Mitotic Telophase /Cytokinesis, Canis familiaris",,annotatedTarget,Reactome:REACT_93374,,,Microscopy,cmpo.owl
GO_0046176,,,inSubset,gosubset_prok,,Prokaryotic GO subset,Microscopy,cmpo.owl
Nf72fe83c24994b1d9b62aa115451909f,,,first,N5aa860911ec246a09d1f5dd5c478ac54,,,Microscopy,cmpo.owl
N33bba9d9b3c74708a122a7331b6be5c7,,,rest,N23d631250e6d46d38825e56bf10852af,,,Microscopy,cmpo.owl
GO_0030570,,,inSubset,gosubset_prok,,Prokaryotic GO subset,Microscopy,cmpo.owl
N52f827ce60a2401cbf42cf0f9ca0d65a,"Cell Cycle, Mitotic, Mus musculus",,annotatedTarget,Reactome:REACT_90332,,,Microscopy,cmpo.owl
PATO_0001774,,,inSubset,value_slim,,,Microscopy,cmpo.owl
GO_0019219,regulation of nucleobase-containing compound metabolic process,,subClassOf,GO_0031323,regulation of cellular metabolic process,,Microscopy,cmpo.owl
Ne0892971462d4556ad36c2e11ef463f1,,,annotatedProperty,hasExactSynonym,has_exact_synonym,,Microscopy,cmpo.owl
N78c2c4dfbc6c49fdb55e89966209e14d,,,annotatedProperty,hasExactSynonym,has_exact_synonym,,Microscopy,cmpo.owl
N8088091d21f84845978637fb6eb3cab7,,,type,Axiom,,,Microscopy,cmpo.owl
GO_0008428,,,inSubset,gosubset_prok,,Prokaryotic GO subset,Microscopy,cmpo.owl
GO_0006468,,,inSubset,gosubset_prok,,Prokaryotic GO subset,Microscopy,cmpo.owl
GO_0044446,intracellular organelle part,"Note that this term is in the subset of terms that should not be used for direct gene product annotation. Instead, select a child term or, if no appropriate child term exists, please request a new term. Direct annotations to this term may be amended during annotation QC.",IAO_0000115,"A constituent part of an intracellular organelle, an organized structure of distinctive morphology and function, occurring within the cell. Includes constituent parts of the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton but excludes the plasma membrane.",,,Microscopy,cmpo.owl
Ne58e21baad2849ba85f3176dbf60c91c,,,annotatedTarget,"Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus.",,,Microscopy,cmpo.owl
Na34e898f012a4a5e9f7d2d5d5c4a2484,,,type,Axiom,,,Microscopy,cmpo.owl
Ncee4fc989b6a4f37a5123ad738a9a09d,,,first,PATO_0002057,increased area,,Microscopy,cmpo.owl
Nc17d8a1aa19542daa210f1b11d1deeb3,"ChREBP activates metabolic gene expression, Taeniopygia guttata",,type,Axiom,,,Microscopy,cmpo.owl
N0a27605120f742a298f4ddca7f3074ce,"Metabolism of amino acids and derivatives, Bos taurus",,type,Axiom,,,Microscopy,cmpo.owl
N28073f524e7d4b1c8608f78b579d8c7b,,,onProperty,BFO_0000050,part_of,,Microscopy,cmpo.owl
N10a11bc36c3f4b8e961d5c3c69e4abc3,,,someValuesFrom,GO_0097659,nucleic acid-templated transcription,"Note that this term is in the subset of terms that should not be used for direct gene product annotation. Instead, select a child term or, if no appropriate child term exists, please request a new term. Direct annotations to this term may be amended during annotation QC.",Microscopy,cmpo.owl
Nfaebd22ddd6f47988a3dfb27cd19f5f6,,,createdBy,OPPL_pattern,,,Microscopy,cmpo.owl
GO_1903651,positive regulation of cytoplasmic transport,,hasExactSynonym,up-regulation of cytoplasmic transport,,,Microscopy,cmpo.owl
N0c3e66c388d846788a7b0ac5900e0b3c,,,first,PATO_0001236,process quality,See comments of relational quality of a physical entity.,Microscopy,cmpo.owl
CMPO_0000148,podosome phenotype,,label,podosome phenotype,,,Microscopy,cmpo.owl
Nf7d1d980d0684cc08dba8f6ab46f0103,,,first,PATO_0000499,decreased duration,,Microscopy,cmpo.owl
N1aee34ccbbed4d62967995e2c378252c,,,type,Restriction,,,Microscopy,cmpo.owl
Ndbe75cc5b3974fdeab34473507fed43b,,,first,PATO_0001558,lacking processual parts,,Microscopy,cmpo.owl
N652aa25f4d8041aea71c0bfbff5549e9,,,annotatedProperty,hasNarrowSynonym,has_narrow_synonym,,Microscopy,cmpo.owl
N34665c5447ed4a71a03311dd15998ec9,,,hasDbXref,GOC:mah,,,Microscopy,cmpo.owl
N10d72258aaf24946a44f5c6bdb06f806,,,annotatedProperty,IAO_0000115,,,Microscopy,cmpo.owl
GO_0051091,positive regulation of sequence-specific DNA binding transcription factor activity,,hasExactSynonym,up-regulation of transcription factor activity,,,Microscopy,cmpo.owl
GO_0046070,,,inSubset,gosubset_prok,,Prokaryotic GO subset,Microscopy,cmpo.owl
PATO_0002038,,,inSubset,value_slim,,,Microscopy,cmpo.owl
N6655aa5f47064533b084dba383effb8d,"uPAR-acyl-GPI + H2O -> uPAR + long-chain fatty acid, Xenopus tropicalis",,annotatedSource,GO_0016788,"hydrolase activity, acting on ester bonds",,Microscopy,cmpo.owl
N4b2823006b124c078cccdb95899e1f74,,,annotatedSource,GO_0006997,nucleus organization,,Microscopy,cmpo.owl
N004dc85d884d4bed9b0c7c8540b4566a,,,type,Restriction,,,Microscopy,cmpo.owl
