Subject 1,Subject 2,Domain 1,Domain 2,Ontology 1,Ontology 2,Similarity Score,Cluster
BibliographicReference,4000-0119,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,SmartProtocols_doc_V4.0.owl,0.66397417,0
BibliographicReference,assay,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,isaterms.owl,0.6876727,0
BibliographicReference,ElectrophoresisProtocol,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,SmartProtocols_wf_V4.0.owl,0.70205027,0
BibliographicReference,ImagingMethod,Experimental workflow,Computational,SmartProtocols_doc_V4.0.owl,reproduce-me.owl,0.6698729,0
BibliographicReference,LaboratoryProcedure,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,SmartProtocols_wf_V4.0.owl,0.69938374,0
BibliographicReference,LaserSetting,Experimental workflow,Computational,SmartProtocols_doc_V4.0.owl,reproduce-me.owl,0.6706164,0
BibliographicReference,Physical,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,EXPO04-19-06.owl,0.70240116,0
BibliographicReference,Primer,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,SmartProtocols_wf_V4.0.owl,0.71369016,0
BibliographicReference,ProtocolInstruction,Experimental workflow,Experimental workflow,SmartProtocols_doc_V4.0.owl,SmartProtocols_doc_V4.0.owl,0.67029625,0
BibliographicReference,SWO_3000046,Experimental workflow,Computational,SmartProtocols_doc_V4.0.owl,swo.owl,0.6981058,0
InductiveHypothesis,Abstract,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6939521,0
InductiveHypothesis,AdminInfoObjectOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66599905,0
InductiveHypothesis,Attribute,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.74529195,0
InductiveHypothesis,AttributeOfHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7103679,0
InductiveHypothesis,CapacityRequirements,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.70471984,0
InductiveHypothesis,Classifying,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7335363,0
InductiveHypothesis,ConstantQuantity,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.68925303,0
InductiveHypothesis,DDC_Dewey_Classification,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69925094,0
InductiveHypothesis,description,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.71908045,0
InductiveHypothesis,DesigningExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69337976,0
InductiveHypothesis,DuhemEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7960973,0
InductiveHypothesis,ExecutionOfExperiment,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7002336,0
InductiveHypothesis,ExperimentalHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7657801,0
InductiveHypothesis,ExperimentalModel,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7120249,0
InductiveHypothesis,ExperimentalRequirements,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.72590756,0
InductiveHypothesis,ExperimentalStandard,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6788379,0
InductiveHypothesis,ExperimentalTechnology,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6848904,0
InductiveHypothesis,ExperimenteeBias,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7039237,0
InductiveHypothesis,ExperimenterBias,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.73310673,0
InductiveHypothesis,ExplicitHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.71400595,0
InductiveHypothesis,Fact,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7441746,0
InductiveHypothesis,FieldOfStudy,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7279519,0
InductiveHypothesis,GeneralityOfHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7703076,0
InductiveHypothesis,HawthorneEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69518614,0
InductiveHypothesis,HistoryEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7128953,0
InductiveHypothesis,HypothesisExplicitness,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7547722,0
InductiveHypothesis,HypothesisFormation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.78727484,0
InductiveHypothesis,HypothesisForming,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.77651316,0
InductiveHypothesis,HypothesisRepresentation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69295084,0
InductiveHypothesis,InductiveHypothesis,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,1.0000001,0
InductiveHypothesis,information-object,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7264179,0
InductiveHypothesis,InterpretingResult,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6738898,0
InductiveHypothesis,LimitationOfTheProtocol,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.7468747,0
InductiveHypothesis,LinguisticExpression,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6865566,0
InductiveHypothesis,MaturationEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6770195,0
InductiveHypothesis,MortalityEffect,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.693404,0
InductiveHypothesis,Name,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6885984,0
InductiveHypothesis,Object,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7310563,0
InductiveHypothesis,PairedComparison,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.66792774,0
InductiveHypothesis,PairedComparisonOfMatchingGroups,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7250663,0
InductiveHypothesis,PairedComparisonOfSingleSampleGroups,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69708455,0
InductiveHypothesis,PhysicalQuantity,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6993047,0
InductiveHypothesis,Process,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7111407,0
InductiveHypothesis,Proposition,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.75735575,0
InductiveHypothesis,ProvenanceOfTheProtocol,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,SmartProtocols_doc_V4.0.owl,0.66229177,0
InductiveHypothesis,Relation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7857928,0
InductiveHypothesis,RepresentationExperimentalExecutionProcedure,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7370904,0
InductiveHypothesis,RepresentationExperimentalGoal,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.6976197,0
InductiveHypothesis,RepresentationExperimentalObservation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.728268,0
InductiveHypothesis,RepresentationExperimentalResults,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.69562125,0
InductiveHypothesis,ResultEvaluating,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7272696,0
InductiveHypothesis,ResultsEvaluation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.7894473,0
InductiveHypothesis,ResultsInterpretation,Experimental workflow,Experimental workflow,EXPO04-19-06.owl,EXPO04-19-06.owl,0.74799144,0
InductiveHypothesis,role,Experimental workflow,Machine Learning,EXPO04-19-06.owl,DMOP.owl,0.7383151,0
