Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
N011f6cc19a1a49ad9c67803b2fd8b05f,,,first,region,,"We distinguish between a quality (e.g., the color  of a specific rose), and its value (e.g., a particular shade of red). The latter  is called quale, and describes the position of an individual quality within a certain  conceptual space (called here quality space) Gardenfors (2000). So when we say that  two roses have (exactly) the same color, we mean that their color qualities, which  are distinct, have the same position in the color space, that is they have the same  color quale.",Machine Learning,DMOP.owl
Nb1ccd9b4d4d54a64bc7030cc090a1ba2,,,first,FeatureWeightingAlgorithm,,FeatureWeightingAlgorithm is abbreviated as FWAlgorithm or FWA when used as a suffix.,Machine Learning,DMOP.owl
N562b0b27f20a49a1b222dbf5db73a798,,,type,Restriction,,,Machine Learning,DMOP.owl
Nfe43c925dce1448fa35d9ad8db3745da,,,onProperty,hasOptimizationStrategy,,,Machine Learning,DMOP.owl
N140d051a88b44be794aac20227662f50,,,allValuesFrom,AlgorithmParameter,,,Machine Learning,DMOP.owl
Greedy,,,type,HeuristicBestFirstSearch,,"HeuristicBestFirstSearch: The term ""heuristic search"" is used in two different senses in the literature on Ai and optimization. In the very broad sense, heuristic search has two defining characteristics. First, heuristic search uses information other than that given in the problem definition to guide search. Second, heuristic search methods are not guaranteed to find the optimal solution; this characteristic distinguishes heuristic methods from branch and bound methods, which are informed but not heuristic methods.

In the early AI literature on search, however, the term ""heuristic search"" was used in the framework of search viewed as the problem of going from an initial to a goal state, and typically used the graph model, where states are represented by nodes. In the absence of any information outside that given in the problem definition, the only solution was systematic search; the choice of the next node to expand (and ultimately of the solution path) was based on criteria such as node recency or an evaluation function f(n)=g(n)= the cost of going from the initial node to the current node (note that this function relies only on the problem definition and record of past problem solving steps). In contrast to this uninformed approach,other methods relied on a so-called heuristic evaluation function f(n)=g(n)+h(n), where h(n) is an estimate of the path from the current state to the goal state; the choice of this function requires domain-specific information. In this context, heuristic search in the narrow technical sense refers to methods based on some form of h(n) (with or without g(n)) were called heuristic search. The general approach used in heuristic search (in this specific sense) is best-first search, where the ""best"" node was that with the lowest evaluation function f(n). For this reason, we use the term HeuristicBestFirstSearch to designate heuristic search in this narrow technical sense and distinguish it from heuristic search in the first, broader sense defined above. 

",Machine Learning,DMOP.owl
N68c1e150b7a54136b81d4837972e58cd,,,first,ClassPriorVector,,,Machine Learning,DMOP.owl
N8b28147e578d4f9cbf4f4352c894f64b,,,onClass,ClassCondProbMatrix,,"ClassCondProbMatrix: A k x d matrix where k = number of classes and d = number of words/features, each cell M_{ci}, c = 1 ... k, i = 1 ... d, contains the probability of feature i in class c, and each row sums to 1. Used in all NaiveBayes models built from discrete or mixed discrete/continuous datasets.",Machine Learning,DMOP.owl
referenced-by,,"A relation holding between non-physical objects and entities whatsoever (thus including non-physical objects themselves). An intuition for the references relation could be that a non-physical object adds 'information'  to an entity. In fact, non-physical objects depend on a communication setting. In most cases, this is the characteristic relation that provides  a unity criterion to objects, events, etc. For example, cars are objects and not mere aggregates because there is a project, a design, a social value, a functional structure, a personal emotional structure, etc. attached to them. This attachment can be represented by means of 'non-physical objects' that 'reference' cars. The most obvious application is for situations, which do not exist without a description, although they still are extensional entities: a situation without a part is no more the same situation, but a situation is not a mere aggregate, since it has references to a description as its unity criterion. Adding information to an entity can also be thought as an intentional solution to a holistic stance. Defenders of this view -within different frameworks- are Kant, Brentano, Husserl, Gestalt psychologists, Merleau-Ponty ... References is distinguished according to the kinds of non-physical objects and referenced ground entities: referencing between descriptions and situations is called 'SATISFIED-BY', while referencing between description components and situation components is called 'CLASSIFIES'. 'SETTING-FOR' is a referencing relation between a situation and the entities in its setting (it was formerly a constitution relation, but since situation appear to be social objects from the DOLCE viewpoint, the constitution solution is no more applicable). 'EXPRESSES' is bound to information objects and the meaning (description of a representation or conceptualization) in which they are involved. 'REALIZED-BY' is bound to information objects and physical representations that are used to communicate them, etc. 'ABOUT' is bound to information objects and entities whatsoever (aboutness of intentionality).",domain,particular,,"AKA 'entity'.Any individual in the DOLCE domain of discourse. The extensional coverage of DOLCE is as large as possible, since it ranges on 'possibilia', i.e all possible individuals that can be postulated by means of DOLCE axioms. Possibilia include physical objects, substances, processes, qualities,  conceptual regions, non-physical objects, collections and even arbitrary sums of objects.The class 'particular' features a covering partition that includes: endurant, perdurant, quality, and abstract. There are also some subclasses defined as unions of subclasses of 'particular' for special purposes: spatio-temporal-particular (any particular except abstracts)- physical-realization (any realization of an information object, defined in the ExtendedDnS ontology).",Machine Learning,DMOP.owl
N1b15772c9d7f4889b55b545cccefaf47,,,unionOf,N8cf6eda3bbb54ad9990240dc9c89b7cb,,,Machine Learning,DMOP.owl
LDAOptimizationProblem,,,hasOptimizationGoal,Maximize,,,Machine Learning,DMOP.owl
Nac15266dd82542fbb18e53a313437c63,,,first,OneClassClassification,,,Machine Learning,DMOP.owl
N9f0fe30430bb422890c968e208172101,,,qualifiedCardinality,1,,,Machine Learning,DMOP.owl
NeighborhoodRange,,,subClassOf,abstract-region,,A region at which only abstract qualities can be directly located. It assumes some metrics for abstract (neither physical nor temporal) properties.,Machine Learning,DMOP.owl
N8bf52bd912f54e70a4b2ba778bbf393c,,,rest,N047b10b40f0844a4853d13e3f5bc871e,,,Machine Learning,DMOP.owl
part-of,,,range,particular,,"AKA 'entity'.Any individual in the DOLCE domain of discourse. The extensional coverage of DOLCE is as large as possible, since it ranges on 'possibilia', i.e all possible individuals that can be postulated by means of DOLCE axioms. Possibilia include physical objects, substances, processes, qualities,  conceptual regions, non-physical objects, collections and even arbitrary sums of objects.The class 'particular' features a covering partition that includes: endurant, perdurant, quality, and abstract. There are also some subclasses defined as unions of subclasses of 'particular' for special purposes: spatio-temporal-particular (any particular except abstracts)- physical-realization (any realization of an information object, defined in the ExtendedDnS ontology).",Machine Learning,DMOP.owl
N4f0390b07d184d618dfa21e74f1bf5cd,,,type,Restriction,,,Machine Learning,DMOP.owl
Na3996639ed594b62ae0ceb9c19d3a874,,,hasValue,PiecewiseAxisParallelLinearBoundary,,PiecewiseAxisParallelLinearBoundary or PiecewiseUnivariateLinearBoundary: better known as a hyperrectangle.,Machine Learning,DMOP.owl
DiscreteParametricDensityEstimation,,,subClassOf,ParametricDensityEstimation,,,Machine Learning,DMOP.owl
hasDecisionRule,,,type,ObjectProperty,,,Machine Learning,DMOP.owl
D-TrainFinalModel,,"D-TrainFinalModel is a dummy operator that represents the sequence of operators that is needed to train the final model in a modeling task. The goal is to train the final model based on the operators and the set of settings that achieved the highest performance during the model selection process. Training the final model to be deployed is an important step in all data mining processes, but since it simply reexecutes the training process all over again on the full dataset, it has no impact on meta-learning and is therefore classified as a UtilityOperator (see definition under this concept). In DMOP-based meta-analysis of meta-learning, what is important is this operator's output, since it is this final model that should be described in the experiment database rather than any of the models generated using resampling (hold-out, cross-validation, bootstrapping) procedures.",type,UtilityOperator,,,Machine Learning,DMOP.owl
N1d8a3de32c2f4669b3424f694b4147a2,,,someValuesFrom,ClassificationModelingTask,,,Machine Learning,DMOP.owl
hasMaximumValue,,,domain,N5e4879dc161d4e599a4e846644c9fdcf,,,Machine Learning,DMOP.owl
N535894e4216b4d3abf46d0f0c0a2104c,,,rest,nil,,,Machine Learning,DMOP.owl
KNearestNeighborModel,,,type,Class,,,Machine Learning,DMOP.owl
N82cd3fad97d8467f9df299cafe199b03,,,type,Restriction,,,Machine Learning,DMOP.owl
PerceptronModel,,,subClassOf,N8243b2c6ded14c9ba13b88de6651cd70,,,Machine Learning,DMOP.owl
N1a6855ba928e4329857de838d0b1ad06,,,intersectionOf,Nda7692f701f94e569ab1cbf863ebf22e,,,Machine Learning,DMOP.owl
NeuralNetworkAlgorithm,,,subClassOf,N49beeaf15aea4d8a8067320462925dba,,,Machine Learning,DMOP.owl
N220539c5ff664b10aceac584c32a8682,,,type,Restriction,,,Machine Learning,DMOP.owl
HypothesisEvaluationMeasure,,,type,Class,,,Machine Learning,DMOP.owl
ContinuousFeature,,,subClassOf,N006aac89f3c64287a5ae223ea748ba03,,,Machine Learning,DMOP.owl
N35ba45b373b54a6d8b9c2e45b26abece,,,first,BottomRank,,,Machine Learning,DMOP.owl
N31456ba2720848bead389bf6a563df04,,,onProperty,executes,,,Machine Learning,DMOP.owl
Nb89d5372428642608cba5bbc8c435e73,,,allValuesFrom,abstract-region,,A region at which only abstract qualities can be directly located. It assumes some metrics for abstract (neither physical nor temporal) properties.,Machine Learning,DMOP.owl
Nd7cc7559625447bd94e8f58c9460dc3d,,,rest,N2799afc56fd04d88ba60eeef84a06827,,,Machine Learning,DMOP.owl
N111aa504318147949b9285aa8e0cc0d2,,,type,Restriction,,,Machine Learning,DMOP.owl
N862a18a9665341cdbc62f112f100bb5d,,,type,AllDifferent,,,Machine Learning,DMOP.owl
