Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
N8704aa04858a4bc1b959548c3e3a6b99,None,None,type,Restriction,None,None,Experimental workflow,EXPO04-19-06.owl
Role,Role,"
(role ?OBJECT ?ENTITY) means that ?OBJECT - a Role holder, plays a  Role ?ENTITY   in some context. In EXPO we always consider the context: experiment. For example in context of experiment an object <human> can play the role <subject of experiment> if the human is ""one who executes the experiment"" (OED) or the role <object of experiment> if the human is one ""on whom an experiment is made."" (OED).
",label,Role,None,None,Experimental workflow,EXPO04-19-06.owl
Variable,Variable,"
The concept is outside of EXPO
",disjointWith,FieldOfStudy,FieldOfStudy,"
SUMO ""An academic or applied discipline with recognized experts and with a core of accepted theory or practice. Note that FieldOfStudy is a subclass of Proposition, because a FieldOfStudy is understood to be a body of abstract, informational content, with varying degrees of certainty attached to each element of this content."" http://www.ontologyportal.org/
",Experimental workflow,EXPO04-19-06.owl
ConfirmGoal,ConfirmGoal,"
A confirm-goal is an experimental goal of a hypothesis-driven experiment.
",comment,"
A confirm-goal is an experimental goal of a hypothesis-driven experiment.
",None,None,Experimental workflow,EXPO04-19-06.owl
Attribute,Attribute,"
The concept is outside of EXPO.
""Qualities which we cannot or choose not to reify into subclasses of Object."" Reference: SUMO http://berkelium.teknowledge.com:8080/sigma/home.jsp
",label,Attribute,None,None,Experimental workflow,EXPO04-19-06.owl
SubjectOfExperiment,SubjectOfExperiment,"
A subject of an experimental is: ""one who executes the experiment"" For instance: a <human>, a <robot>. Reference: The Oxford English Dictionary. Oxford University Press, 2 Ed., 1989
",subClassOf,SubjectRole,SubjectRole,"
the concept is outside EXPO.
",Experimental workflow,EXPO04-19-06.owl
ExperimentalStandard,ExperimentalStandard,"
An experimental standard is ""an accepted or approved"" procedure in the domain of an experiment, for example a standard for data representation, or a standard for measurements.  Reference: Collins Softback English Dictionary, HarperCollins Publishers, Glasgow, 1993.
",disjointWith,Model,Model,"
The concept is outside of EXPO
",Experimental workflow,EXPO04-19-06.owl
ExperimentalGoal,ExperimentalGoal,"
An experimental goal is the state that a plan is intended to achieve and that (when achieved) terminates behaviour intended to achieve it. Reference: WordNet: http://www.cogsci.princeton.edu/cgi-bin/webwn2.0?stage=1&word=goal+
",subClassOf,N3b587b208c0c440091e74c8f963d57e5,None,None,Experimental workflow,EXPO04-19-06.owl
AdminInfoSubmitter,AdminInfoSubmitter,"
Administrative information about a submitter of an experimental data/ protocols, etc. is data about the submitter (a name, an organization, contact data, etc.) used for administrative purposes such as to provide/ control access/ storage of experimental data etc.
",disjointWith,AdminInfoUser,AdminInfoUser,"
Administrative information about a user of an experimental data/ protocols, etc. is data about the user (a name, an organization, contact data, login, password, etc.) used for administrative purposes such as to provide/ control access to experimental data etc.
",Experimental workflow,EXPO04-19-06.owl
AbductiveHypothesis,AbductiveHypothesis,"
An abductive hypothesis is formalized as a prediction, or an explanation of an observation, usually by a propositional clause. Reference: Based on Abe A.: The Relation between Abductive Hypotheses and Inductive Hypotheses, Proc. of IJCAI97 Workshop on Abduction and Induction, pp. 1--6 (1997)
",label,AbductiveHypothesis,None,None,Experimental workflow,EXPO04-19-06.owl
ImplicitHypothesis,ImplicitHypothesis,"
An implicit hypothesis of an experimental hypothesis is a Boolean attribute which is false where the statement can be written in the form of a text.
",comment,"
An implicit hypothesis of an experimental hypothesis is a Boolean attribute which is false where the statement can be written in the form of a text.
",None,None,Experimental workflow,EXPO04-19-06.owl
N50eaebced9dc4410bb434d7018fd0691,None,None,onProperty,has_strategy,None,None,Experimental workflow,EXPO04-19-06.owl
InformationGethering,InformationGethering,"
Information gathering is the scientific task of collecting information for further analysis or for other scientific purposes.
",label,InformationGethering,None,None,Experimental workflow,EXPO04-19-06.owl
Representation,Representation,"
The concept is outside EXPO
",label,Representation,None,None,Experimental workflow,EXPO04-19-06.owl
N538030b15a8440e49e0127d92ddfd5e4,None,None,allValuesFrom,MethodApplicabilityCondition,MethodApplicabilityCondition,"
A method applicability condition is an applicability condition that specifies the contexts in which the experimental method may be applied to achieve the method goal.
",Experimental workflow,EXPO04-19-06.owl
Na6e10b1d7d464592a7ca784cacdca00a,None,None,first,DomainOfExperiment,DomainOfExperiment,"
A domain of an experiment is a field of study in which an experiment is designed to discover new knowledge.
",Experimental workflow,EXPO04-19-06.owl
Na184088b9b754f50973d437d09cc35a5,None,None,allValuesFrom,Title,Title,"
The concept is outside of EXPO;
""The name given to the resource by the CREATOR or PUBLISHER.""
Reference: Dublin Core: http://www.lub.lu.se/cgi-bin/nmdc.pl
",Experimental workflow,EXPO04-19-06.owl
HandTool,HandTool,"
A hand tool is a small manual instrument traditionally operated by the muscular strength of the user. Reference: Encyclopaedia Britannica online: http://www.britannica.com/
",subClassOf,Tool,Tool,"
A tool is an instrument for making material changes on other objects, as by cutting, shearing, striking, rubbing, grinding, squeezing, measuring, or other process. Reference: Encyclopaedia Britannica online: http://www.britannica.com/
",Experimental workflow,EXPO04-19-06.owl
N53e088ea7c524aea85361c228ad8f5ad,None,None,rest,N3ed45e4749b84a5c8ae389fe49cfec14,None,None,Experimental workflow,EXPO04-19-06.owl
has_experimental_factor,None,None,range,ExperimentalFactor,ExperimentalFactor,"
An experimental factor is a known variable of the model of the domain which the object of the experiment can control/vary in order to determine of a value of target variables.
",Experimental workflow,EXPO04-19-06.owl
SentientAgent,SentientAgent,"
""An Agent that has rights but may or may not have responsibilities and the ability to reason. If the latter are present, then the Agent is also an instance of CognitiveAgent. Domesticated animals are an example of SentientAgents that are not also CognitiveAgents."" (SUMO)
",comment,"
""An Agent that has rights but may or may not have responsibilities and the ability to reason. If the latter are present, then the Agent is also an instance of CognitiveAgent. Domesticated animals are an example of SentientAgents that are not also CognitiveAgents."" (SUMO)
",None,None,Experimental workflow,EXPO04-19-06.owl
ExperimentalEquipment,ExperimentalEquipment,"
Experimental equipment is the set of tools, devices, materials, computer systems assembled for performing the experiment. Reference: following Collins Softback English Dictionary, HarperCollins Publishers, Glasgow, 1993.
",subClassOf,N885adcea46204407a80c75b491672f29,None,None,Experimental workflow,EXPO04-19-06.owl
