Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
N67a791fce23f48749de82a87a3a4ccfe,None,None,rest,Nf6b695b26d354a36b94576392a79b02c,None,None,Microscopy,cmpo.owl
N42956a9d59e84b929bfa2ee8cbaca539,None,None,first,N0d8c44be02dc4a8586146db98e745661,None,None,Microscopy,cmpo.owl
GO_0043819,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
goslim_aspergillus,None,Aspergillus GO slim,comment,Aspergillus GO slim,None,None,Microscopy,cmpo.owl
N89135ddb96cc47fc85817a7fe08ac4f8,"Apoptotic execution phase, Xenopus tropicalis",None,type,Axiom,None,None,Microscopy,cmpo.owl
Nee62d8c733d14be89095894a837140be,None,None,hasDbXref,GOC:add,None,None,Microscopy,cmpo.owl
N0db1edb96b9147e2892a1f8ba5cef92a,None,None,hasDbXref,GOC:TermGenie,None,None,Microscopy,cmpo.owl
Nd81b30f2cbc245648ffa98ffd1c48180,None,None,type,Axiom,None,None,Microscopy,cmpo.owl
Nfbf726d3d1f942a0a79061596de9abb9,None,None,hasDbXref,PMID:22809626,None,None,Microscopy,cmpo.owl
GO_0008184,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
GO_0008535,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
Na1ef9bf02dc94d49877277d743fc120a,"TRAF6 mediated induction of TAK1 complex, Homo sapiens",None,annotatedTarget,Reactome:REACT_25351,None,None,Microscopy,cmpo.owl
PATO_0001055,None,None,inSubset,relational_slim,None,None,Microscopy,cmpo.owl
N998a69f91eb644559cde32b1b127da85,"3'- incision of DNA by XPG in GG-NER, Drosophila melanogaster",None,label,"3'- incision of DNA by XPG in GG-NER, Drosophila melanogaster",None,None,Microscopy,cmpo.owl
GO_0098534,centriole assembly,None,label,centriole assembly,None,None,Microscopy,cmpo.owl
Nef70c364ca5548aab23f1af399a1e9c5,None,None,rest,Nfd0e9deadcd34f4e9bce91e22024272c,None,None,Microscopy,cmpo.owl
GO_1902578,single-organism localization,None,id,GO:1902578,None,None,Microscopy,cmpo.owl
GO_0046220,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
Ne0c0270b6a1241bbab209b33a86871f3,None,None,someValuesFrom,Nbda6b9dad3404825a3ad9d6b9adc4b5c,None,None,Microscopy,cmpo.owl
GO_0016023,cytoplasmic membrane-bounded vesicle,None,id,GO:0016023,None,None,Microscopy,cmpo.owl
GO_0009306,protein secretion,None,label,protein secretion,None,None,Microscopy,cmpo.owl
Nbc003af4d7d449479afa0a4a9b770f70,None,None,onProperty,BFO_0000051,has_part,None,Microscopy,cmpo.owl
GO_0030894,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
CMPO_0000364,s-shaped cell phenotype,None,IAO_0000115,A phenotype observation at the level of the cell shape where the cell is in a shape that consists of two curves in opposite directions.,None,None,Microscopy,cmpo.owl
GO_0032060,bleb assembly,None,hasBroadSynonym,blebbing,None,None,Microscopy,cmpo.owl
GO_0018957,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
CMPO_0000196,M phase arrested phenotype,None,id,CMPO:0000196,None,None,Microscopy,cmpo.owl
PATO_0001562,decreased mass,None,subClassOf,PATO_0000125,mass,None,Microscopy,cmpo.owl
GO_0042995,cell projection,None,type,Class,None,None,Microscopy,cmpo.owl
PATO_0000592,decreased thickness,None,subClassOf,PATO_0000915,thickness,None,Microscopy,cmpo.owl
GO_0033332,None,None,inSubset,gosubset_prok,None,Prokaryotic GO subset,Microscopy,cmpo.owl
