Subject Class,Subject Label,Subject Comment,Predicate,Object Class,Object Label,Object Comment,Domain,Ontology Source
C4.5CrispTreeModel,None,None,subClassOf,N3a41f04774fb4d59a626a09e4c0e52e8,None,None,Machine Learning,DMOP.owl
MaximumFeatureEfficiency,None,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",type,Class,None,None,Machine Learning,DMOP.owl
TreePruningAlgorithm,None,None,subClassOf,ModelPruningAlgorithm,None,None,Machine Learning,DMOP.owl
N851a5ae30919456aacdd7a41efc5963c,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
Multinomial-Pvector,None,None,type,Class,None,None,Machine Learning,DMOP.owl
N24d13fc8883941b0a42eb169284ff98f,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
ClassAbsoluteFrequencies,None,METAL characteristic: Absolute class frequencies. Stored in a vector indexed by each class value.,type,Class,None,None,Machine Learning,DMOP.owl
DescriptiveModel,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
N53fde8a3450b4b6fa6c1d5fda2d61a8c,None,None,first,N19840818714748c7b18956f669ed04b5,None,None,Machine Learning,DMOP.owl
N6e7307b571f34d22aaf26ac0cec159ba,None,None,first,Linear,None,None,Machine Learning,DMOP.owl
N02ef9ff4149e4101868450a3c342b32e,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
N84ed76584eb447aba604387a13d9acc9,None,None,onClass,FeatureMeanValue,None,None,Machine Learning,DMOP.owl
Nea810cbb14404c5b9acc3bae225ae9d3,None,None,onProperty,addresses,None,None,Machine Learning,DMOP.owl
Nb847e07b91c24528a270925c1fc24a94,None,None,someValuesFrom,DM-Operator,None,None,Machine Learning,DMOP.owl
CategoricalFeature,None,None,type,FeatureClass,None,None,Machine Learning,DMOP.owl
Nea810cbb14404c5b9acc3bae225ae9d3,None,None,someValuesFrom,PatternDiscoveryTask,None,"PatternDiscoveryTask: deals with the automatic detection of pattterns in data, where a pattern is any regularity, relation or structure inherent in the data, be it exact, approximate or statistical. In a more restricted sense, a pattern is a learned predictive hypothesis that has local coverage as opposed to a model (again in the restricted sense) which has global coverage.  A hypothesis is said to have global coverage if it is capable of returning a prediction for any instance of the sample space, whereas a local hypothesis typically returns a prediction for a limited region of the sample space.",Machine Learning,DMOP.owl
RegressionModelClass,None,None,subClassOf,PredictiveModelClass,None,None,Machine Learning,DMOP.owl
SpecificToGeneral,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
N0160aa290028487286dadeb84e9cab06,None,None,rest,nil,None,None,Machine Learning,DMOP.owl
hasSearchGuidance,None,None,range,Blind-Informed,None,None,Machine Learning,DMOP.owl
DataTable,None,DataTable: a set of data arranged in rows and columns. [http://virtual.cvut.cz/ksmsaWeb/browser/title],subClassOf,N5675252ba10d45f4a625c7e62fd8dcd8,None,None,Machine Learning,DMOP.owl
N43af7e85711544ae9deae19bcae0b53e,None,None,first,Nbac9a0fcd6024037af9d8ce952bda8c5,None,None,Machine Learning,DMOP.owl
ToleratesCorrelatedFeatures,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
N64df66deaa5a497c84ec05f5a11519fd,None,None,onProperty,has-quality,None,None,Machine Learning,DMOP.owl
N784c9189f58f437987669f47f93b557d,None,None,hasValue,PiecewiseAxisParallelLinearBoundary,None,PiecewiseAxisParallelLinearBoundary or PiecewiseUnivariateLinearBoundary: better known as a hyperrectangle.,Machine Learning,DMOP.owl
MultivariateTreeInductionAlgorithm,None,None,subClassOf,N17efbcf5b40f410fb482d3321c4fa93c,None,None,Machine Learning,DMOP.owl
Na881db392afb4319a985b074d70e1ada,None,None,onProperty,hasParameter,None,None,Machine Learning,DMOP.owl
N65f63b7f317442e582002af8155ef370,None,None,onProperty,hasMainTable,None,None,Machine Learning,DMOP.owl
N8a343c0f5a5c4005b15b2137f66ad7e4,None,None,hasValue,HandlesNoCategoricalFeatures,None,None,Machine Learning,DMOP.owl
MinGiniIndexOptimizationProblem,None,None,type,DiscreteOptimizationProblem,None,None,Machine Learning,DMOP.owl
StructuredPredictionModel,None,None,subClassOf,PredictiveModel,None,None,Machine Learning,DMOP.owl
DataProcessingTask,None,"DataProcessingTask: takes in any subclass of Data (a DataSet, DataTable or Feature) and outputs a some transformation of its input.",subClassOf,CoreDM-Task,None,"CoreDMTask: a data mining task that can be achieved by a number of alternative methods organized in a more or less complex subtree under the Algorithm class.  Thus a CoreDMTask cannot be accomplished without preliminary search in a space of potential methods/algorithms. This restrictive definition of a core DM task excludes utility tasks such as dataset reading/writing, model application, etc. Contrary to other DM ontologies, the e-lico DMOP does not classify CoreDMTasks according to the standard DM phases: Pre-processing, Modeling and Post-Processing. The reason is that many of these tasks can be performed in any phase: for example, one can nest a ModelingTask in the Pre-processing phase; for instance, the MissingValueImputationTask can be cast as a PredictiveModelingTask whereby a classification or regression learner is used to predict the missing values of a selected feature. In the reverse direction, Feature(Set)ProcessingTasks can be integrated into the modeling phase, as in the case of embedded feature selection techniques.",Machine Learning,DMOP.owl
Nad365c0223374dc8b25d39093b30551f,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
ContinuousFeature,None,None,type,NamedIndividual,None,None,Machine Learning,DMOP.owl
ContinuousFeature,None,None,definition,variable  that takes its values from a range of real numbers.,None,None,Machine Learning,DMOP.owl
N1b37613d3d4447f1ac130150505db287,None,None,intersectionOf,Ndf1f191bc86d464aafb90c3cadbace36,None,None,Machine Learning,DMOP.owl
specialized-by,None,"Specialization as reification of a partial-order relation between type- or set-reified social objects, i.e. descriptions, concepts, and collections.For example, concepts that are apparently classified by other concepts; e.g. a manager that plays the role of buyer, where the role manager actually specializes the role buyer. Descriptions can be specialized by other descriptions that specialize their concepts. For descriptions, an intention to specialize must be present (unless purely formal theories are considered, but even in this case a criterion of relevance is usually active). Specialization does not imply expansion (proper part) for descriptions. If there exists a concept that is defined by the specialized description, which is not d-used in the specializing one, the second only specializes a part of the first. If there exists a concept that is defined by the specializing description, which is not d-used by the specialized one, the first both specializes and expands the second.",inverseOf,specializes,None,"Specialization as reification of a partial-order relation between social objects. For example, concepts that are apparently classified by other concepts; e.g. a manager that plays the role of buyer, where the role manager actually specializes the role buyer. Descriptions can be specialized by other descriptions that specialize their concepts or figures. For descriptions, an intention to specialize must be present (unless purely formal theories are considered, but even in this case a criterion of relevance is usually active). Specialization does not imply expansion (proper part) for descriptions. If there exists a concept that is defined by the specialized description, which is not d-used in the specializing one, the second only specializes a part of the first. If there exists a concept that is defined by the specializing description, which is not d-used by the specialized one, the first both specializes and expands the second.",Machine Learning,DMOP.owl
refines,None,"Concepts and figures can be refined by adding components, e.g. an elementary task can become complex, a complex task can increase its complexity, maximal tasks can be composed, etc.A description gets expanded if one of the concepts or figures it uses are refined.Refinement applies also to collections, situations, and information objects.Descriptions are refined by adding component descriptions.",type,ObjectProperty,None,None,Machine Learning,DMOP.owl
FeatureRareValue,None,"A categorical value should be marked as rare, 
iff it is 50% less frequent than we would expect under a
uniform distribution. (e.g. 25% for a binary value)",subClassOf,CategoricalFeatureCharacteristic,None,None,Machine Learning,DMOP.owl
involves,None,The composition of d-uses and played-by relations: a description d-uses a role that is played by an endurant.,comment,The composition of d-uses and played-by relations: a description d-uses a role that is played by an endurant.,None,None,Machine Learning,DMOP.owl
N8a343c0f5a5c4005b15b2137f66ad7e4,None,None,type,Restriction,None,None,Machine Learning,DMOP.owl
BetweenGroupsSumSquaresCrossProducts,None,METAL characteristic: A matrix containing the difference between the matrix of total and the matrix of within-groups sums of squares and cross products.,comment,METAL characteristic: A matrix containing the difference between the matrix of total and the matrix of within-groups sums of squares and cross products.,None,None,Machine Learning,DMOP.owl
project,None,"A project is a proactively satisfied method. Differently from a plan, a project includes at least one 'product' role to be played by some endurant (e.g. a house), or one 'result' role played by a perdurant with a definite participant (e.g. a restored state of a house).",comment,"A project is a proactively satisfied method. Differently from a plan, a project includes at least one 'product' role to be played by some endurant (e.g. a house), or one 'result' role played by a perdurant with a definite participant (e.g. a restored state of a house).",None,None,Machine Learning,DMOP.owl
DM-Data,None,None,disjointWith,FormalExpression,None,None,Machine Learning,DMOP.owl
UndirectedGraph,None,None,type,Thing,None,None,Machine Learning,DMOP.owl
ClassificationModelingAlgorithm,None,"ClassificationModelingAlgorithm: an algorithm that builds (learns) a classifier. For the moment, ClassificationModelingAlgorithm implicitly stands for propositional supervised classification algorithms. This is the reason its input range is specificed as LabeledDataSet and PropositionalDataSet. In the future we will add relational classification modeling algorithms as well as semi-supervised classification modeling algorithms.",subClassOf,N20945f99dbf24b478c1dec68be090543,None,None,Machine Learning,DMOP.owl
DM-Data,None,None,disjointWith,HypothesisStructure,None,None,Machine Learning,DMOP.owl
FeatureExtractionAlgorithm,None,None,equivalentClass,N6889b76a62ed4962aba4797a56c5d22a,None,None,Machine Learning,DMOP.owl
