Class1,Class2,Score
https://cso.kmi.open.ac.uk/topics/jpeg,https://w3id.org/reproduceme#JPEG,1
https://cso.kmi.open.ac.uk/topics/apd,https://w3id.org/reproduceme#APD,1
https://cso.kmi.open.ac.uk/topics/fsm,https://w3id.org/reproduceme#FSM,1
https://cso.kmi.open.ac.uk/topics/dicom,https://w3id.org/reproduceme#DICOM,1
https://cso.kmi.open.ac.uk/topics/excimer,https://w3id.org/reproduceme#Excimer,1
https://w3id.org/function/ontology#implements,http://www.ebi.ac.uk/efo/swo/SWO_0000740,1
http://purl.org/net/wicus-hwspecs#value,http://www.w3.org/ns/prov#value,1
http://www.w3.org/ns/prov#value,http://purl.org/net/wicus-hwspecs#value,1
https://cso.kmi.open.ac.uk/topics/image_sequence,https://w3id.org/reproduceme#ImageProSequence,0.94
https://cso.kmi.open.ac.uk/topics/windows_ce,http://www.ebi.ac.uk/swo/version/6.0,0.93
https://cso.kmi.open.ac.uk/topics/windows_ce,http://www.ebi.ac.uk/swo/version/SWO_2000016,0.93
https://cso.kmi.open.ac.uk/topics/image_sequences,https://w3id.org/reproduceme#ImageProSequence,0.9
https://cso.kmi.open.ac.uk/topics/transmitters,https://w3id.org/reproduceme#Transmitted,0.9
https://cso.kmi.open.ac.uk/topics/semiconductor_growth,https://w3id.org/reproduceme#Semiconductor,0.89
https://cso.kmi.open.ac.uk/topics/matlab,http://www.ebi.ac.uk/swo/version/SWO_2000011,0.88
https://cso.kmi.open.ac.uk/topics/matlab,http://www.ebi.ac.uk/swo/version/SWO_2000012,0.88
https://cso.kmi.open.ac.uk/topics/semiconductor_quantum_wells,https://w3id.org/reproduceme#Semiconductor,0.87
https://cso.kmi.open.ac.uk/topics/nonlinear_state,https://w3id.org/reproduceme#NonLinear,0.87
https://cso.kmi.open.ac.uk/topics/transmitted_signal,https://w3id.org/reproduceme#Transmitted,0.87
https://cso.kmi.open.ac.uk/topics/semiconductor_counters,https://w3id.org/reproduceme#Semiconductor,0.86
https://cso.kmi.open.ac.uk/topics/online_community,http://www.ebi.ac.uk/swo/organization/SWO_9000010,0.85
https://cso.kmi.open.ac.uk/topics/microsoft_kinect,http://www.ebi.ac.uk/swo/organization/SWO_9000001,0.85
https://cso.kmi.open.ac.uk/topics/nonlinear_optics,https://w3id.org/reproduceme#NonLinear,0.85
https://cso.kmi.open.ac.uk/topics/nonlinear_effect,https://w3id.org/reproduceme#NonLinear,0.85
http://linkedcontainers.org/vocab#Image,http://edamontology.org/data_2968,0.79
http://linkedcontainers.org/vocab#Image,https://w3id.org/reproduceme#Image,0.77
http://www.w3.org/ns/prov#Entity,http://purl.obolibrary.org/obo/BFO_0000001,0.73
https://w3id.org/function/ontology#Parameter,https://w3id.org/reproduceme#Parameter,0.7
https://w3id.org/function/ontology#Output,https://w3id.org/reproduceme#Output,0.7
https://w3id.org/function/ontology#Algorithm,https://w3id.org/reproduceme#Algorithm,0.7
https://w3id.org/function/ontology#Parameter,https://w3id.org/reproduceme#Parameter,0.7
https://w3id.org/function/ontology#Function,https://w3id.org/reproduceme#Function,0.7
https://w3id.org/function/ontology#Algorithm,http://purl.obolibrary.org/obo/IAO_0000064,0.7
http://www.w3.org/ns/prov#Role,http://purl.obolibrary.org/obo/BFO_0000023,0.7
http://www.w3.org/ns/prov#Plan,http://purl.obolibrary.org/obo/IAO_0000104,0.7
http://www.w3.org/ns/prov#Plan,http://purl.org/net/p-plan#Plan,0.5
http://www.w3.org/ns/prov#Organization,http://purl.obolibrary.org/obo/OBI_0000245,0.5
http://www.w3.org/ns/prov#Plan,http://purl.org/net/p-plan#Plan,0.5
