Class1,Class2,Score
http://purl.obolibrary.org/obo/RO_0001000,http://www.w3.org/ns/prov#wasDerivedFrom,0.7487
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41185,https://w3id.org/reproduceme#Concentration,0.9551
http://purl.obolibrary.org/obo/OBI_0000304,http://purl.org/net/p-plan#isPrecededBy,0.6406
http://purl.org/net/SMARTprotocol#ExperimentalProtocol,https://w3id.org/reproduceme#ExperimentalData,0.7351
http://purl.org/net/SMARTprotocol#Publication,https://w3id.org/reproduceme#Publication,0.9827
http://purl.obolibrary.org/obo/OGI.owl#Author,https://w3id.org/reproduceme#Author,0.9801
http://purl.org/net/SMARTprotocol#Manufacturer,https://w3id.org/reproduceme#Manufacturer,0.9872
http://purl.org/net/SMARTprotocol#ProtocolIdentifier,https://w3id.org/reproduceme#ProtocolIdentifier,0.9801
http://purl.obolibrary.org/obo/BTO_0000669,https://w3id.org/reproduceme#PockelCellSetting,0.6
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70830,https://w3id.org/reproduceme#Solution,0.9645
http://purl.obolibrary.org/obo/CHEBI_33893,https://w3id.org/reproduceme#Reagent,0.9306
http://purl.org/net/SMARTprotocol#PCRAmplification,https://w3id.org/reproduceme#Amplification,0.703
http://purl.obolibrary.org/obo/BFO_0000023,http://www.w3.org/ns/prov#Role,0.9551
http://purl.obolibrary.org/obo/CL_0000000,https://w3id.org/reproduceme#Cell,0.9306
http://purl.obolibrary.org/obo/ERO_0000071,https://w3id.org/reproduceme#Software,0.9628
http://purl.org/net/SMARTprotocol#ProcessedDNA,https://w3id.org/reproduceme#ProcessedData,0.698
http://purl.obolibrary.org/obo/CHEBI_15734,http://www.w3.org/ns/prov#PrimarySource,0.698
http://www.ifomis.org/bfo/1.1#Entity,http://purl.org/net/p-plan#Entity,0.9801
http://purl.obolibrary.org/obo/CHEBI_36080,https://w3id.org/reproduceme#Protein,0.9645
http://purl.obolibrary.org/obo/OBI_0100026,https://w3id.org/reproduceme#Organism,0.9603
http://purl.obolibrary.org/obo/IAO_0000100,https://w3id.org/reproduceme#Dataset,0.9213
http://www.owl-ontologies.com/Ontology1184060740.owl#Class_25,https://w3id.org/reproduceme#Filter,0.9306
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70830,https://w3id.org/reproduceme#Solution,0.9615
http://purl.obolibrary.org/obo/ERO_0000071,https://w3id.org/reproduceme#Software,0.9628
http://purl.org/net/SMARTprotocol#ChemicalCompoundReagent,https://w3id.org/reproduceme#MaterialPreparationStep,0.6861
http://purl.obolibrary.org/obo/CHEBI_36080,https://w3id.org/reproduceme#Protein,0.9645
http://purl.obolibrary.org/obo/CHEBI_33893,https://w3id.org/reproduceme#Reagent,0.9306
http://purl.org/net/SMARTprotocol#ExperimentalProtocol,https://w3id.org/reproduceme#ExperimentalData,0.7351
http://purl.org/net/SMARTprotocol#PCRAmplification,https://w3id.org/reproduceme#Amplification,0.703
http://purl.org/net/SMARTprotocol#AnalyzedDataSet,https://w3id.org/reproduceme#OriginInformationCollection,0.6
http://purl.obolibrary.org/obo/OBI_0100026,https://w3id.org/reproduceme#Organism,0.9603
http://purl.obolibrary.org/obo/CL_0000000,https://w3id.org/reproduceme#Cell,0.9306
http://purl.obolibrary.org/obo/CHEBI_15734,http://www.w3.org/ns/prov#PrimarySource,0.698
http://purl.obolibrary.org/obo/IAO_0000100,https://w3id.org/reproduceme#Dataset,0.9213
http://purl.org/net/SMARTprotocol#ProcessedDNA,https://w3id.org/reproduceme#ProcessedData,0.698
http://www.ifomis.org/bfo/1.1#Entity,http://purl.org/net/p-plan#Entity,0.9801
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42790,https://w3id.org/reproduceme#Experiment,0.9615
http://www.hozo.jp/owl/EXPOApr19.xml/Software,http://purl.obolibrary.org/obo/ERO_0000071,0.9551
http://www.hozo.jp/owl/EXPOApr19.xml/Author,http://purl.obolibrary.org/obo/OGI.owl#Author,0.9896
http://www.hozo.jp/owl/EXPOApr19.xml/ExperimentalProtocol,http://purl.org/net/SMARTprotocol#ExperimentalProtocol,0.9801
http://www.hozo.jp/owl/EXPOApr19.xml/NameEquipment,http://purl.org/net/SMARTprotocol#EquipmentOrSuppliesName,0.6409
http://www.hozo.jp/owl/EXPOApr19.xml/Entity,http://www.ifomis.org/bfo/1.1#Entity,0.9801
http://www.hozo.jp/owl/EXPOApr19.xml/Name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614,0.9551
http://www.hozo.jp/owl/EXPOApr19.xml/hasPart,http://www.obofoundry.org/ro/ro.owl#has_part,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/Role,http://purl.obolibrary.org/obo/BFO_0000023,0.956
http://www.hozo.jp/owl/EXPOApr19.xml/RandomError,http://purl.org/net/SMARTprotocol#RandomPrimer,0.7351
http://www.hozo.jp/owl/EXPOApr19.xml/Quantity,http://semanticscience.org/resource/SIO_000052,0.9584
http://www.hozo.jp/owl/EXPOApr19.xml/ActionName,http://purl.org/net/SMARTprotocol#ReferenceList,0.7841
http://purl.org/isaterms/has_part,http://www.obofoundry.org/ro/ro.owl#has_part,1.0
http://purl.org/isaterms/author,http://purl.obolibrary.org/obo/OGI.owl#Author,0.9801
http://purl.org/isaterms/name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614,0.9482
http://purl.org/isaterms/material_entity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,0.9826
http://purl.org/isaterms/is_defined_by,http://purl.obolibrary.org/obo/OBI_0000304,0.6586
http://purl.org/isaterms/publication,http://purl.org/net/SMARTprotocol#Publication,0.9899
http://purl.org/isaterms/identifier,http://purl.org/net/SMARTprotocol#ProtocolIdentifier,0.6123
http://www.hozo.jp/owl/EXPOApr19.xml/Organization,http://purl.org/isaterms/organisation,0.7367
http://www.hozo.jp/owl/EXPOApr19.xml/IncompleteDataError,http://purl.org/isaterms/derived_data_file,0.6
http://www.hozo.jp/owl/EXPOApr19.xml/Name,http://purl.org/isaterms/name,0.989
http://www.hozo.jp/owl/EXPOApr19.xml/ExperimentalTechnology,http://purl.org/isaterms/technology,0.652
http://www.hozo.jp/owl/EXPOApr19.xml/Title,http://purl.org/isaterms/title,0.9868
http://www.hozo.jp/owl/EXPOApr19.xml/MeasurementError,http://purl.org/isaterms/measurement,0.6023
