Class1,Class2,Score
http://purl.org/net/SMARTprotocol#ExperimentalProtocol,http://www.hozo.jp/owl/EXPOApr19.xml/ExperimentalProtocol,1.0
http://purl.obolibrary.org/obo/ERO_0000071,http://www.hozo.jp/owl/EXPOApr19.xml/Software,1.0
http://www.ifomis.org/bfo/1.1#Entity,http://www.hozo.jp/owl/EXPOApr19.xml/Entity,1.0
http://www.owl-ontologies.com/Ontology1184060740.owl#Class_1,http://www.hozo.jp/owl/EXPOApr19.xml/ExperimentalAction,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42790,http://www.hozo.jp/owl/EXPOApr19.xml/IDExperiment,1.0
http://semanticscience.org/resource/SIO_000999,http://www.hozo.jp/owl/EXPOApr19.xml/Procedure,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614,http://www.hozo.jp/owl/EXPOApr19.xml/Name,1.0
http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,http://purl.org/isaterms/material_entity,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614,http://purl.org/isaterms/name,1.0
http://www.owl-ontologies.com/Ontology1184060740.owl#Class_61,http://purl.org/isaterms/label,1.0
http://www.w3.org/ns/prov#Organization,http://www.hozo.jp/owl/EXPOApr19.xml/Organization,1.0
https://w3id.org/reproduceme#Software,http://www.hozo.jp/owl/EXPOApr19.xml/Software,1.0
https://w3id.org/reproduceme#Experiment,http://www.hozo.jp/owl/EXPOApr19.xml/IDExperiment,1.0
https://w3id.org/reproduceme#StandardOperatingProcedure,http://www.hozo.jp/owl/EXPOApr19.xml/StandardOperatingProcedure,1.0
http://www.w3.org/ns/prov#Role,http://www.hozo.jp/owl/EXPOApr19.xml/Role,1.0
http://purl.org/net/p-plan#Plan,http://www.hozo.jp/owl/EXPOApr19.xml/Plan,1.0
http://www.w3.org/ns/prov#Entity,http://www.hozo.jp/owl/EXPOApr19.xml/Entity,1.0
https://w3id.org/reproduceme#Model,http://www.hozo.jp/owl/EXPOApr19.xml/Model,1.0
http://purl.org/net/p-plan#Variable,http://www.hozo.jp/owl/EXPOApr19.xml/Variable,1.0
http://www.w3.org/ns/prov#Collection,http://www.hozo.jp/owl/EXPOApr19.xml/Collection,1.0
https://w3id.org/reproduceme#QualityControl,http://www.hozo.jp/owl/EXPOApr19.xml/QualityControl,1.0
https://w3id.org/reproduceme#Image,http://www.hozo.jp/owl/EXPOApr19.xml/Image,1.0
https://w3id.org/reproduceme#Author,http://www.hozo.jp/owl/EXPOApr19.xml/Author,1.0
http://www.w3.org/ns/prov#Agent,http://www.hozo.jp/owl/EXPOApr19.xml/Agent,1.0
http://purl.org/isaterms/process,http://www.hozo.jp/owl/EXPOApr19.xml/Process,1.0
http://purl.org/isaterms/publication_status,http://www.hozo.jp/owl/EXPOApr19.xml/PublicStatus,1.0
http://purl.org/isaterms/name,http://www.hozo.jp/owl/EXPOApr19.xml/Name,1.0
http://purl.org/isaterms/organisation,http://www.hozo.jp/owl/EXPOApr19.xml/Organization,1.0
http://purl.org/isaterms/sample,http://www.hozo.jp/owl/EXPOApr19.xml/Sample,1.0
http://purl.org/isaterms/title,http://www.hozo.jp/owl/EXPOApr19.xml/Title,1.0
http://purl.org/isaterms/author,http://www.hozo.jp/owl/EXPOApr19.xml/Author,1.0
https://w3id.org/reproduceme#Unit,http://purl.org/isaterms/unit,1.0
https://w3id.org/reproduceme#Description,http://purl.org/isaterms/description,1.0
https://w3id.org/reproduceme#Measurement,http://purl.org/isaterms/measurement,1.0
http://www.w3.org/ns/prov#Person,http://purl.org/isaterms/person,1.0
https://w3id.org/reproduceme#Assay,http://purl.org/isaterms/assay,1.0
https://w3id.org/reproduceme#Author,http://purl.org/isaterms/author,1.0
https://w3id.org/reproduceme#Publication,http://purl.org/isaterms/publication,1.0
https://w3id.org/reproduceme#Protocol,http://purl.org/isaterms/protocol,1.0
https://w3id.org/reproduceme#File,http://purl.org/isaterms/file,1.0
https://w3id.org/reproduceme#Source,http://purl.org/isaterms/source,1.0
https://w3id.org/reproduceme#Study,http://purl.org/isaterms/study,1.0
https://w3id.org/reproduceme#Parameter,http://purl.org/isaterms/parameter,1.0
http://www.w3.org/ns/prov#Organization,http://purl.org/isaterms/organisation,1.0
https://w3id.org/reproduceme#Protein,http://purl.obolibrary.org/obo/CHEBI_36080,1.0
https://w3id.org/reproduceme#Manufacturer,http://purl.org/net/SMARTprotocol#Manufacturer,1.0
https://w3id.org/reproduceme#Concentration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41185,1.0
https://w3id.org/reproduceme#Reagent,http://purl.obolibrary.org/obo/CHEBI_33893,1.0
https://w3id.org/reproduceme#Cell,http://purl.obolibrary.org/obo/CL_0000000,1.0
https://w3id.org/reproduceme#Organism,http://purl.obolibrary.org/obo/OBI_0100026,1.0
http://www.w3.org/ns/prov#Entity,http://www.ifomis.org/bfo/1.1#Entity,1.0
https://w3id.org/reproduceme#Publication,http://purl.org/net/SMARTprotocol#Publication,1.0
https://w3id.org/reproduceme#Software,http://purl.obolibrary.org/obo/ERO_0000071,1.0
http://www.w3.org/ns/prov#Role,http://purl.obolibrary.org/obo/BFO_0000023,1.0
https://w3id.org/reproduceme#Author,http://purl.obolibrary.org/obo/OGI.owl#Author,1.0
https://w3id.org/reproduceme#Solution,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70830,1.0
https://w3id.org/reproduceme#ProtocolIdentifier,http://purl.org/net/SMARTprotocol#ProtocolIdentifier,1.0
https://w3id.org/reproduceme#Dataset,http://purl.obolibrary.org/obo/IAO_0000100,1.0
http://www.owl-ontologies.com/Ontology1184060740.owl#Class_61,http://purl.org/isaterms/label,1.0
