Class1,Class2,Score
http://purl.org/isaterms/has_output,http://purl.org/net/SMARTprotocol#hasOutput,1.0
http://purl.org/isaterms/is_output_of,http://purl.org/net/SMARTprotocol#hasOutput,1.0
http://purl.org/isaterms/label,http://www.owl-ontologies.com/Ontology1184060740.owl#Class_61,1.0
http://purl.org/isaterms/has_part,http://www.obofoundry.org/ro/ro.owl#part_of,1.0
http://purl.org/isaterms/material_entity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,1.0
http://purl.org/isaterms/has_part,http://www.obofoundry.org/ro/ro.owl#has_part,1.0
https://w3id.org/reproduceme#Software,http://purl.org/net/SMARTprotocol#SoftwareName,1.0
https://w3id.org/reproduceme#Solution,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70830,1.0
https://w3id.org/reproduceme#Manufacturer,http://purl.org/net/SMARTprotocol#Manufacturer,1.0
https://w3id.org/reproduceme#Author,http://purl.org/net/SMARTprotocol#AuthorName,1.0
http://www.w3.org/ns/prov#Role,http://purl.obolibrary.org/obo/BFO_0000023,1.0
https://w3id.org/reproduceme#hasPart,http://www.obofoundry.org/ro/ro.owl#part_of,1.0
https://w3id.org/reproduceme#Protein,http://purl.obolibrary.org/obo/CHEBI_36080,1.0
https://w3id.org/reproduceme#isPartOf,http://www.obofoundry.org/ro/ro.owl#part_of,1.0
https://w3id.org/reproduceme#ProtocolIdentifier,http://purl.org/net/SMARTprotocol#ProtocolIdentifier,1.0
https://w3id.org/reproduceme#Reagent,http://purl.obolibrary.org/obo/CHEBI_33893,1.0
https://w3id.org/reproduceme#Measurement,http://semanticscience.org/resource/SIO_000070,1.0
http://www.w3.org/ns/prov#Entity,http://www.ifomis.org/bfo/1.1#Entity,1.0
https://w3id.org/reproduceme#Concentration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41185,1.0
https://w3id.org/reproduceme#Software,http://purl.obolibrary.org/obo/ERO_0000071,1.0
https://w3id.org/reproduceme#Solution,http://purl.org/net/SMARTprotocol#SolutionName,1.0
https://w3id.org/reproduceme#Specimen,http://purl.org/net/SMARTprotocol#SpecimenName,1.0
https://w3id.org/reproduceme#Manufacturer,http://purl.org/net/SMARTprotocol#ManufacturerName,1.0
http://purl.org/net/p-plan#Entity,http://www.ifomis.org/bfo/1.1#Entity,1.0
https://w3id.org/reproduceme#Author,http://purl.obolibrary.org/obo/OGI.owl#Author,1.0
https://w3id.org/reproduceme#isPartOf,http://www.obofoundry.org/ro/ro.owl#has_part,1.0
https://w3id.org/reproduceme#Organism,http://purl.obolibrary.org/obo/OBI_0100026,1.0
https://w3id.org/reproduceme#Publication,http://purl.org/net/SMARTprotocol#Publication,1.0
https://w3id.org/reproduceme#Reagent,http://purl.org/net/SMARTprotocol#ReagentName,1.0
https://w3id.org/reproduceme#hasPart,http://www.obofoundry.org/ro/ro.owl#has_part,1.0
https://w3id.org/reproduceme#Publication,http://prismstandard.org/namespaces/basic/2.0/prism:publicationName,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/has_reference,https://w3id.org/reproduceme#reference,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/Entity,http://www.w3.org/ns/prov#Entity,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/Model,https://w3id.org/reproduceme#Model,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/has_plan,http://www.w3.org/ns/prov#hadPlan,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/ValueOfVariable,http://purl.org/net/p-plan#Variable,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/Entity,http://purl.org/net/p-plan#Entity,1.0
http://www.hozo.jp/owl/EXPOApr19.xml/Plan,http://purl.org/net/p-plan#Plan,1.0
