Class1,Class2,Score
http://purl.obolibrary.org/obo/BFO_0000023,http://www.hozo.jp/owl/EXPOApr19.xml/Role,0.72
http://purl.obolibrary.org/obo/OGI.owl#Author,http://www.hozo.jp/owl/EXPOApr19.xml/Author,0.74
http://www.ifomis.org/bfo/1.1#Entity,http://www.hozo.jp/owl/EXPOApr19.xml/Entity,0.72
http://purl.obolibrary.org/obo/ERO_0000071,http://www.hozo.jp/owl/EXPOApr19.xml/Software,0.75
http://www.ifomis.org/bfo/1.1/snap#Quality,http://www.hozo.jp/owl/EXPOApr19.xml/SubjectQualification,0.27
http://semanticscience.org/resource/SIO_000052,http://www.hozo.jp/owl/EXPOApr19.xml/Quantity,0.83
http://purl.org/net/SMARTprotocol#ExperimentalProtocol,http://www.hozo.jp/owl/EXPOApr19.xml/ExperimentalProtocol,0.82
http://www.obofoundry.org/ro/ro.owl#has_part,http://www.hozo.jp/owl/EXPOApr19.xml/hasPart,1.0
http://purl.org/net/SMARTprotocol#TitleOfProtocol,http://purl.org/isaterms/title,0.53
http://purl.org/net/SMARTprotocol#AuthorName,http://purl.org/isaterms/author,0.57
http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,http://purl.org/isaterms/material_entity,1.09
http://purl.org/net/SMARTprotocol#Publication,http://purl.org/isaterms/publication,0.78
http://prismstandard.org/namespaces/basic/2.0/prism:publicationName,http://purl.org/isaterms/publication,0.56
http://www.obofoundry.org/ro/ro.owl#has_part,http://purl.org/isaterms/has_part,1.0
http://purl.obolibrary.org/obo/OGI.owl#Author,http://purl.org/isaterms/author,0.98
http://semanticscience.org/resource/SIO_000070,http://purl.org/isaterms/measurement,0.5
http://www.ifomis.org/bfo/1.1/snap#Quality,http://www.hozo.jp/owl/EXPOApr19.xml/SubjectQualification,0.25
http://purl.obolibrary.org/obo/ERO_0000071,http://www.hozo.jp/owl/EXPOApr19.xml/Software,0.75
http://www.obofoundry.org/ro/ro.owl#has_part,http://www.hozo.jp/owl/EXPOApr19.xml/hasPart,1.0
http://www.owl-ontologies.com/Ontology1184060740.owl#Class_1,http://www.hozo.jp/owl/EXPOApr19.xml/ExperimentalAction,0.5
http://purl.org/net/SMARTprotocol#SoftwareName,http://www.hozo.jp/owl/EXPOApr19.xml/Software,0.57
