Class1,Class2,Score
http://www.khaos.uma.es/perception/bigowl#DataType,http://kt.ijs.si/panovp/OntoDT#OntoDT_487147,0.9213
http://www.loa-cnr.it/ontologies/DOLCE-Lite.owl#state,http://kt.ijs.si/panovp/OntoDT#OntoDT_608148,0.6234
http://www.loa-cnr.it/ontologies/DOLCE-Lite.owl#quality,http://kt.ijs.si/panovp/OntoDT#OntoDT_387093,0.6521
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Tree,http://kt.ijs.si/panovp/OntoDT#OntoDT_245924,0.6236
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#DataType,http://kt.ijs.si/panovp/OntoDT#OntoDT_487147,0.9213
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#collection,http://www.w3.org/ns/prov#Collection,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#project,http://xmlns.com/wordnet/1.6/Project,0.9801
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#DataType,http://www.w3.org/2000/01/rdf-schema#Datatype,0.9703
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#ModelStructure,http://mex.aksw.org/mex-core#Model,0.8147
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#CrossValidation,http://mex.aksw.org/mex-core#CrossValidation,0.9802
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#DataSet,http://mex.aksw.org/mex-core#Dataset,0.99
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#collection,http://www.w3.org/ns/prov-o#Collection,0.9801
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#hasValue,http://www.w3.org/ns/prov#value,0.8036
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Feature,http://mex.aksw.org/mex-core#Feature,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#project,http://usefulinc.com/ns/doap#Project,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#concept,http://www.w3.org/2004/02/skos/core#Concept,0.9859
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#project,http://xmlns.com/foaf/0.1/Project,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#activity,http://www.w3.org/ns/prov-o#Activity,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#activity,http://www.w3.org/ns/prov#Activity,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#role,http://www.w3.org/ns/prov#Role,0.984
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#plan,http://www.w3.org/ns/prov#Plan,0.99
http://www.khaos.uma.es/perception/bigowl#DataCollection,http://www.w3.org/ns/prov-o#Collection,0.6297
http://purl.org/net/opmv/ns#Agent,http://purl.org/dc/terms/Agent,0.9801
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#NeuralNetworkModel,http://mex.aksw.org/mex-core#AdaptativeWebSites,0.6
http://www.khaos.uma.es/perception/bigowl#DataType,http://www.w3.org/2000/01/rdf-schema#Datatype,0.9703
http://www.khaos.uma.es/perception/bigowl#Image,http://xmlns.com/foaf/0.1/Image,0.9859
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#MultilayerPerceptronAlgorithm,http://mex.aksw.org/mex-algo#MultilayerPerceptron,0.8166
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#plan,http://www.w3.org/ns/prov#Plan,0.99
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#ClassificationProblem,http://mex.aksw.org/mex-algo#ClassificationProblem,0.9801
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#project,http://xmlns.com/wordnet/1.6/Project,0.9801
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#ClusteringModel,http://mex.aksw.org/mex-algo#Clustering,0.6734
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#RegressionModel,http://mex.aksw.org/mex-algo#Regression,0.6354
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#hasValue,http://www.w3.org/ns/prov#value,0.8036
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#activity,http://www.w3.org/ns/prov#Activity,0.9801
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#NBTreeModel,http://mex.aksw.org/mex-algo#NBTree,0.7078
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#collection,http://www.w3.org/ns/prov-o#Collection,0.9801
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#LinearRegressionModel,http://mex.aksw.org/mex-algo#LinearRegression,0.767
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#SemiSupervisedInductionAlgorithm,http://mex.aksw.org/mex-algo#SemiSupervised,0.6304
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#DataType,http://www.w3.org/2000/01/rdf-schema#Datatype,0.9703
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#RapidMinerOperator,http://mex.aksw.org/mex-algo#RapidMiner,0.7448
