Class1,Class2,Score
http://www.e-LICO.eu/ontologies/dmo/DMOP/DMOP.owl#DataSetCharacteristic,http://www.w3.org/ns/mls#DatasetCharacteristic,1.04
http://usefulinc.com/ns/doap#Project,http://xmlns.com/wordnet/1.6/Project,1.04
http://www.w3.org/ns/prov#value,http://www.w3.org/ns/mls#hasValue,1
http://www.w3.org/ns/mls#hasPart,http://www.obofoundry.org/ro/ro.owl#has_part,1
http://www.w3.org/ns/prov#agent,http://www.obofoundry.org/ro/ro.owl#has_agent,1
http://www.w3.org/ns/prov#value,http://www.w3.org/ns/mls#hasValue,1
http://www.w3.org/ns/prov#agent,http://www.obofoundry.org/ro/ro.owl#has_agent,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#hasComponent,http://www.khaos.uma.es/perception/bigowl#hasComponent,1
http://expdb.cs.kuleuven.be/Expose.owl#has_component,http://www.khaos.uma.es/perception/bigowl#hasComponent,1
http://www.w3.org/ns/prov#agent,http://www.obofoundry.org/ro/ro.owl#has_agent,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#hasComponent,http://expdb.cs.kuleuven.be/Expose.owl#has_component,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#isSpecifiedInputOf,http://purl.obolibrary.org/obo/OBI_0000295,1
http://www.w3.org/ns/prov#agent,http://www.obofoundry.org/ro/ro.owl#has_agent,1
http://www.w3.org/ns/mls#hasPart,http://www.obofoundry.org/ro/ro.owl#has_part,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#hasValue,http://www.w3.org/ns/mls#hasValue,1
http://www.w3.org/ns/prov#value,http://www.w3.org/ns/mls#hasValue,1
http://usefulinc.com/ns/doap#Project,http://xmlns.com/wordnet/1.6/Project,0.94
http://kt.ijs.si/panovp/OntoDM/OntoDM#real_datatype,http://kt.ijs.si/panovp/OntoDT#OntoDT_150012,0.92
http://www.loa-cnr.it/ontologies/DOLCE-Lite.owl#process,http://www.w3.org/ns/mls#Process,0.91
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Workflow,http://kt.ijs.si/panovp/OntoDM#OntoDM_478450,0.89
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#DistanceFunction,http://expdb.cs.kuleuven.be/Expose.owl#distance_function_specification,0.87
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#MathematicalFunction,http://kt.ijs.si/panovp/OntoDM#OntoDM_000052,0.87
http://www.loa-cnr.it/ontologies/ExtendedDnS.owl#plan,http://purl.obofoundry.org/obo/OBI_0000260,0.87
http://mex.aksw.org/mex-algo#HyperParameter,http://www.w3.org/ns/mls#HyperParameter,0.86
http://www.khaos.uma.es/perception/bigowl#PrimitiveType,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#PrimitiveType,0.85
http://kt.ijs.si/panovp/OntoDM/OntoDM#tree_datatype,http://kt.ijs.si/panovp/OntoDT#OntoDT_245924,0.85
http://kt.ijs.si/panovp/OntoDM/OntoDM#primitive_datatype,http://kt.ijs.si/panovp/OntoDT#OntoDT_018988,0.85
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#PredictiveModel,http://kt.ijs.si/panovp/OntoDM#OntoDM_000228,0.84
http://www.e-LICO.eu/ontologies/dmo/DMOP/DMOP.owl#DataCharacteristic,http://www.w3.org/ns/mls#DataCharacteristic,0.83
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Constraint,http://kt.ijs.si/panovp/OntoDM#OntoDM_000137,0.81
http://mex.aksw.org/mex-core#Feature,http://www.w3.org/ns/mls#Feature,0.81
http://mex.aksw.org/mex-core#Model,http://www.w3.org/ns/mls#Model,0.81
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#KernelFunction,http://expdb.cs.kuleuven.be/Expose.owl#kernel_function_specification,0.8
http://www.loa-cnr.it/ontologies/DOLCE-Lite.owl#quality,http://www.w3.org/ns/mls#Quality,0.8
http://kt.ijs.si/panovp/OntoDM/OntoDM#sequence_datatype,http://kt.ijs.si/panovp/OntoDT#OntoDT_648082,0.8
http://mex.aksw.org/mex-core#Feature,http://kt.ijs.si/panovp/OntoDM#OntoDM_000298,0.79
http://www.khaos.uma.es/perception/bigowl#DataType,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#DataType,0.79
http://mex.aksw.org/mex-algo#Algorithm,http://www.w3.org/ns/mls#Algorithm,0.78
http://kt.ijs.si/panovp/OntoDM/OntoDM#vector_datatype,http://kt.ijs.si/panovp/OntoDT#OntoDT_207563,0.78
http://mex.aksw.org/mex-core#Dataset,http://www.w3.org/ns/mls#Dataset,0.78
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#ModelCharacteristic,http://www.w3.org/ns/mls#ModelCharacteristic,0.77
http://www.khaos.uma.es/perception/bigowl#Data,http://www.w3.org/ns/mls#Data,0.77
http://www.e-LICO.eu/ontologies/dmo/DMOP/DMOP.owl#FeatureCharacteristic,http://www.w3.org/ns/mls#FeatureCharacteristic,0.76
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#PredictiveModelingAlgorithm,http://kt.ijs.si/panovp/OntoDM#OntoDM_000160,0.75
