Class1,Class2,Score
http://www.khaos.uma.es/perception/bigowl#specifiesInputClass,http://www.khaos.uma.es/perception/bigowl#specifiesInputClass,1
http://www.khaos.uma.es/perception/bigowl#hasName,http://www.khaos.uma.es/perception/bigowl#hasName,1
http://www.khaos.uma.es/perception/bigowl#hasProblem,http://www.khaos.uma.es/perception/bigowl#hasProblem,1
http://www.khaos.uma.es/perception/bigowl#specifiesOutputClass,http://www.khaos.uma.es/perception/bigowl#specifiesOutputClass,1
http://www.khaos.uma.es/perception/bigowl#numTask,http://www.khaos.uma.es/perception/bigowl#numTask,1
http://www.khaos.uma.es/perception/bigowl#numberOfInputs,http://www.khaos.uma.es/perception/bigowl#numberOfInputs,1
http://www.khaos.uma.es/perception/bigowl#Visualization,http://www.khaos.uma.es/perception/bigowl#Visualization,1
http://www.khaos.uma.es/perception/bigowl#order,http://www.khaos.uma.es/perception/bigowl#order,1
http://www.khaos.uma.es/perception/bigowl#hasDataType,http://www.khaos.uma.es/perception/bigowl#hasDataType,1
http://www.khaos.uma.es/perception/bigowl#hasAlgorithm,http://www.khaos.uma.es/perception/bigowl#hasAlgorithm,1
http://www.khaos.uma.es/perception/bigowl#hasPrimitiveType,http://www.khaos.uma.es/perception/bigowl#hasPrimitiveType,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Parameter,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Parameter,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#List,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#List,1
http://www.khaos.uma.es/perception/bigowl#license,http://www.khaos.uma.es/perception/bigowl#license,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Workflow,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Workflow,1
http://www.khaos.uma.es/perception/bigowl#hasParameter,http://www.khaos.uma.es/perception/bigowl#hasParameter,1
http://www.khaos.uma.es/perception/bigowl#hasComponent,http://www.khaos.uma.es/perception/bigowl#hasComponent,1
http://www.khaos.uma.es/perception/bigowl#connectedTo,http://www.khaos.uma.es/perception/bigowl#connectedTo,1
http://www.khaos.uma.es/perception/bigowl#hasTask,http://www.khaos.uma.es/perception/bigowl#hasTask,1
http://www.khaos.uma.es/perception/bigowl#author,http://www.khaos.uma.es/perception/bigowl#author,1
http://www.khaos.uma.es/perception/bigowl#Tuple,http://www.khaos.uma.es/perception/bigowl#Tuple,1
http://www.khaos.uma.es/perception/bigowl#Task,http://www.khaos.uma.es/perception/bigowl#Task,1
http://www.khaos.uma.es/perception/bigowl#numberOfOutputs,http://www.khaos.uma.es/perception/bigowl#numberOfOutputs,1
http://www.khaos.uma.es/perception/bigowl#path,http://www.khaos.uma.es/perception/bigowl#path,1
http://www.khaos.uma.es/perception/bigowl#hasDataValue,http://www.khaos.uma.es/perception/bigowl#hasDataValue,1
http://www.w3.org/ns/prov-o#Entity,http://www.w3.org/ns/prov-o#Entity,1
http://www.w3.org/ns/prov-o#Collection,http://www.w3.org/ns/prov-o#Collection,1
http://www.khaos.uma.es/perception/bigowl#Boolean,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Boolean,1
http://www.khaos.uma.es/perception/bigowl#String,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#String,1
http://usefulinc.com/ns/doap#Version,http://usefulinc.com/ns/doap#Version,1
http://www.w3.org/ns/prov-o#Collection,http://www.w3.org/ns/prov-o#Collection,1
http://www.w3.org/ns/prov-o#Entity,http://www.w3.org/ns/prov-o#Entity,1
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Parameter,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Parameter,1
http://www.khaos.uma.es/perception/bigowl#specifiesInputClass,http://www.khaos.uma.es/perception/bigowl#specifiesInputClass,1
http://www.khaos.uma.es/perception/bigowl#hasAlgorithm,http://www.khaos.uma.es/perception/bigowl#hasAlgorithm,1
http://www.khaos.uma.es/perception/bigowl#hasDataType,http://www.khaos.uma.es/perception/bigowl#hasDataType,1
http://www.khaos.uma.es/perception/bigowl#hasPrimitiveType,http://www.khaos.uma.es/perception/bigowl#hasPrimitiveType,1
http://www.khaos.uma.es/perception/bigowl#DataProcessing,http://www.khaos.uma.es/perception/bigowl#DataProcessing,1
http://www.khaos.uma.es/perception/bigowl#specifiesOutputClass,http://www.khaos.uma.es/perception/bigowl#specifiesOutputClass,1
http://www.khaos.uma.es/perception/bigowl#Tuple,http://www.khaos.uma.es/perception/bigowl#Tuple,1
http://www.khaos.uma.es/perception/bigowl#order,http://www.khaos.uma.es/perception/bigowl#order,1
http://www.khaos.uma.es/perception/bigowl#hasParameter,http://www.khaos.uma.es/perception/bigowl#hasParameter,1
