Class1,Class2,Score
http://kt.ijs.si/panovp/OntoDT#OntoDT_150012,http://kt.ijs.si/panovp/OntoDM/OntoDM#real_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_207563,http://kt.ijs.si/panovp/OntoDM/OntoDM#vector_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_018988,http://kt.ijs.si/panovp/OntoDM/OntoDM#primitive_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_379444,http://kt.ijs.si/panovp/OntoDM/OntoDM#numeric_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_814373,http://kt.ijs.si/panovp/OntoDM/OntoDM#set_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_648082,http://kt.ijs.si/panovp/OntoDM/OntoDM#sequence_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_245924,http://kt.ijs.si/panovp/OntoDM/OntoDM#tree_datatype,1.0
http://www.w3.org/ns/mls#Feature,http://mex.aksw.org/mex-core#Feature,1.0
http://www.w3.org/ns/mls#Model,http://mex.aksw.org/mex-core#Model,1.0
http://www.w3.org/ns/mls#Dataset,http://mex.aksw.org/mex-core#Dataset,1.0
http://www.w3.org/ns/mls#Experiment,http://mex.aksw.org/mex-core#Experiment,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_648082,http://kt.ijs.si/panovp/OntoDM/OntoDM#sequence_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_018988,http://kt.ijs.si/panovp/OntoDM/OntoDM#primitive_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_150012,http://kt.ijs.si/panovp/OntoDM/OntoDM#real_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_245924,http://kt.ijs.si/panovp/OntoDM/OntoDM#tree_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_207563,http://kt.ijs.si/panovp/OntoDM/OntoDM#vector_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_814373,http://kt.ijs.si/panovp/OntoDM/OntoDM#set_datatype,1.0
http://kt.ijs.si/panovp/OntoDT#OntoDT_379444,http://kt.ijs.si/panovp/OntoDM/OntoDM#numeric_datatype,1.0
http://www.w3.org/ns/mls#HyperParameter,http://mex.aksw.org/mex-algo#HyperParameter,1.0
http://www.w3.org/ns/mls#Algorithm,http://mex.aksw.org/mex-algo#Algorithm,1.0
http://www.w3.org/ns/prov-o#Entity,http://www.w3.org/ns/prov-o#Entity,1.0
http://xmlns.com/foaf/0.1/Project,http://xmlns.com/foaf/0.1/Project,1.0
http://xmlns.com/foaf/0.1/Group,http://xmlns.com/foaf/0.1/Group,1.0
http://www.w3.org/ns/prov#Quotation,http://www.w3.org/ns/prov#Quotation,1.0
http://purl.org/dc/terms/Agent,http://purl.org/dc/terms/Agent,1.0
http://www.w3.org/ns/prov#Attribution,http://www.w3.org/ns/prov#Attribution,1.0
http://www.w3.org/ns/prov#SoftwareAgent,http://www.w3.org/ns/prov-o#SoftwareAgent,1.0
http://usefulinc.com/ns/doap#SVNRepository,http://usefulinc.com/ns/doap#SVNRepository,1.0
http://www.w3.org/ns/prov#ActivityInfluence,http://www.w3.org/ns/prov#ActivityInfluence,1.0
http://www.w3.org/2000/01/rdf-schema#Container,http://www.w3.org/2000/01/rdf-schema#Container,1.0
http://www.w3.org/ns/prov-o#Activity,http://www.w3.org/ns/prov#Activity,1.0
http://www.w3.org/ns/prov#Plan,http://www.w3.org/ns/prov#Plan,1.0
http://www.w3.org/ns/prov#Bundle,http://www.w3.org/ns/prov#Bundle,1.0
http://www.w3.org/ns/prov#EmptyCollection,http://www.w3.org/ns/prov#EmptyCollection,1.0
http://xmlns.com/foaf/0.1/Image,http://xmlns.com/foaf/0.1/Image,1.0
http://www.w3.org/ns/prov#Role,http://www.w3.org/ns/prov#Role,1.0
http://usefulinc.com/ns/doap#DarcsRepository,http://usefulinc.com/ns/doap#DarcsRepository,1.0
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,1.0
http://xmlns.com/foaf/0.1/OnlineEcommerceAccount,http://xmlns.com/foaf/0.1/OnlineEcommerceAccount,1.0
http://usefulinc.com/ns/doap#GitBranch,http://usefulinc.com/ns/doap#GitBranch,1.0
http://xmlns.com/foaf/0.1/OnlineChatAccount,http://xmlns.com/foaf/0.1/OnlineChatAccount,1.0
http://www.w3.org/ns/prov#End,http://www.w3.org/ns/prov#End,1.0
http://schema.org/ImageObject,http://schema.org/ImageObject,1.0
http://www.w3.org/ns/prov#Revision,http://www.w3.org/ns/prov#Revision,1.0
http://usefulinc.com/ns/doap#Version,http://usefulinc.com/ns/doap#Version,1.0
http://usefulinc.com/ns/doap#Repository,http://usefulinc.com/ns/doap#Repository,1.0
http://usefulinc.com/ns/doap#GitRepository,http://usefulinc.com/ns/doap#GitRepository,1.0
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2000/01/rdf-schema#Class,1.0
http://rdfs.org/sioc/types#Weblog,http://rdfs.org/sioc/types#Weblog,1.0
http://www.w3.org/ns/prov#Invalidation,http://www.w3.org/ns/prov#Invalidation,1.0
http://www.w3.org/ns/prov#Generation,http://www.w3.org/ns/prov#Generation,1.0
http://mex.aksw.org/mex-core#Metaheuristics,http://mex.aksw.org/mex-algo#Metaheuristic,1.0
http://usefulinc.com/ns/doap#ArchRepository,http://usefulinc.com/ns/doap#ArchRepository,1.0
http://usefulinc.com/ns/doap#CVSRepository,http://usefulinc.com/ns/doap#CVSRepository,1.0
http://www.w3.org/ns/prov#Person,http://www.w3.org/ns/prov#Person,1.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1.0
http://rdfs.org/sioc/types#Wiki,http://rdfs.org/sioc/types#Wiki,1.0
http://www.w3.org/2000/01/rdf-schema#Literal,http://www.w3.org/2000/01/rdf-schema#Literal,1.0
http://xmlns.com/foaf/0.1/OnlineAccount,http://xmlns.com/foaf/0.1/OnlineAccount,1.0
http://www.w3.org/ns/prov#Derivation,http://www.w3.org/ns/prov#Derivation,1.0
http://schema.org/CreativeWork,http://schema.org/CreativeWork,1.0
