Class1,Class2,Score
http://www.w3.org/ns/mls#Data,http://kt.ijs.si/panovp/OntoDM#OntoDM_892395,1.0
http://www.w3.org/ns/mls#hasPart,http://www.obofoundry.org/ro/ro.owl#has_part,1.0
http://www.w3.org/ns/mls#realizes,http://purl.obolibrary.org/obo/OBI_0000308,1.0
http://www.w3.org/ns/mls#hasInput,http://purl.obolibrary.org/obo/OBI_0000295,1.0
http://www.w3.org/ns/mls#hasInput,http://purl.obolibrary.org/obo/OBI_0000293,1.0
http://www.w3.org/ns/mls#hasPart,http://www.obofoundry.org/ro/ro.owl#part_of,1.0
http://www.w3.org/ns/mls#hasQuality,http://purl.org/obo/owl/OBO_REL#quality_of,1.0
http://www.w3.org/ns/mls#hasOutput,http://purl.obolibrary.org/obo/OBI_0000312,1.0
http://www.w3.org/ns/mls#Quality,http://www.ifomis.org/bfo/1.1/snap#Quality,1.0
http://www.w3.org/ns/mls#hasQuality,http://purl.obolibrary.org/obo/OBI_0000298,1.0
http://www.w3.org/ns/mls#hasOutput,http://purl.obolibrary.org/obo/OBI_0000299,1.0
http://mex.aksw.org/mex-core#Feature,http://www.w3.org/ns/mls#Feature,1.0
http://mex.aksw.org/mex-core#Experiment,http://www.w3.org/ns/mls#Experiment,1.0
http://mex.aksw.org/mex-core#Model,http://www.w3.org/ns/mls#Model,1.0
http://mex.aksw.org/mex-core#Dataset,http://www.w3.org/ns/mls#Dataset,1.0
http://usefulinc.com/ns/doap#implements,http://www.w3.org/ns/mls#implements,1.0
http://www.khaos.uma.es/perception/bigowl#Task,http://www.w3.org/ns/mls#Task,1.0
http://www.khaos.uma.es/perception/bigowl#Data,http://www.w3.org/ns/mls#Data,1.0
http://www.khaos.uma.es/perception/bigowl#Implementation,http://www.w3.org/ns/mls#Implementation,1.0
http://www.khaos.uma.es/perception/bigowl#Algorithm,http://www.w3.org/ns/mls#Algorithm,1.0
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Workflow,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Workflow,1.0
http://www.khaos.uma.es/perception/bigowl#Task,http://www.khaos.uma.es/perception/bigowl#Task,1.0
http://www.khaos.uma.es/perception/bigowl#PrimitiveType,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#PrimitiveType,1.0
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Parameter,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#Parameter,1.0
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#RegressionTask,http://kt.ijs.si/panovp/OntoDM#OntoDM_837886,1.0
http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl#realizes,http://purl.obolibrary.org/obo/OBI_0000308,1.0
