Class1,Class2,Score
http://www.w3.org/1999/02/22-rdf-syntax-ns#value,http://www.w3.org/ns/prov#value,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/value,http://www.w3.org/ns/prov#value,1
http://purl.org/dc/elements/1.1/description,https://w3id.org/reproduceme#description,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#value,http://www.w3.org/ns/prov#value,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/columnNamingConvention,http://www.openmicroscopy.org/rdf/columnNamingConvention,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/exposureTime,http://www.openmicroscopy.org/rdf/exposureTime,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/markerStart,http://www.openmicroscopy.org/rdf/markerStart,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/transmittanceRange,http://www.openmicroscopy.org/rdf/transmittanceRange,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/wellType,http://metadb.riken.jp/db/ome/wellType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/endTime,http://www.openmicroscopy.org/rdf/endTime,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/markerEnd,http://www.openmicroscopy.org/rdf/markerEnd,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/uuid,http://www.openmicroscopy.org/rdf/uuid,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/cutInTolerance,http://www.openmicroscopy.org/rdf/cutInTolerance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/pockelCell,http://www.openmicroscopy.org/rdf/pockelCell,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/refractiveIndex,http://www.openmicroscopy.org/rdf/refractiveIndex,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/filterType,http://www.openmicroscopy.org/rdf/filterType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/planeCount,http://www.openmicroscopy.org/rdf/planeCount,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/sizeX,http://www.openmicroscopy.org/rdf/sizeX,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/binning,http://www.openmicroscopy.org/rdf/binning,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/interleaved,http://www.openmicroscopy.org/rdf/interleaved,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/repetitionRate,http://www.openmicroscopy.org/rdf/repetitionRate,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/NDFilter,http://www.openmicroscopy.org/rdf/NDFilter,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/emissionFilter,http://www.openmicroscopy.org/rdf/emissionFilter,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/timestampAnnotationValue,http://www.openmicroscopy.org/rdf/timestampAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/locked,http://www.openmicroscopy.org/rdf/locked,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/booleanAnnotationValue,http://www.openmicroscopy.org/rdf/booleanAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/calibratedMagnification,http://www.openmicroscopy.org/rdf/calibratedMagnification,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/integration,http://www.openmicroscopy.org/rdf/integration,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/compression,http://www.openmicroscopy.org/rdf/compression,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/experiment,http://www.openmicroscopy.org/rdf/experiment,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fluor,http://www.openmicroscopy.org/rdf/fluor,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/reagentSet,http://www.openmicroscopy.org/rdf/reagentSet,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/value,http://www.openmicroscopy.org/rdf/value,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fillColor,http://www.openmicroscopy.org/rdf/fillColor,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/strokeDashArray,http://www.openmicroscopy.org/rdf/strokeDashArray,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/nominalMagnification,http://www.openmicroscopy.org/rdf/nominalMagnification,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/reagent,http://www.openmicroscopy.org/rdf/reagent,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/column,http://metadb.riken.jp/db/ome/column,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/readOutRate,http://www.openmicroscopy.org/rdf/readOutRate,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/mapAnnotationValue,http://www.openmicroscopy.org/rdf/mapAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/emissionWavelength,http://www.openmicroscopy.org/rdf/emissionWavelength,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/rediusY,http://www.openmicroscopy.org/rdf/rediusY,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/index,http://metadb.riken.jp/db/ome/index,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/bigEndian,http://www.openmicroscopy.org/rdf/bigEndian,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/width,http://www.openmicroscopy.org/rdf/width,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/row,http://metadb.riken.jp/db/ome/row,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/wellSample,http://www.openmicroscopy.org/rdf/wellSample,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/height,http://www.openmicroscopy.org/rdf/height,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/theC,http://www.openmicroscopy.org/rdf/theC,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/timePoint,http://www.openmicroscopy.org/rdf/timePoint,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/commentAnnotationValue,http://www.openmicroscopy.org/rdf/commentAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/theT,http://www.openmicroscopy.org/rdf/theT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/dimensionOrder,http://www.openmicroscopy.org/rdf/dimensionOrder,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/strokeWidth,http://www.openmicroscopy.org/rdf/strokeWidth,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/strokeColor,http://www.openmicroscopy.org/rdf/strokeColor,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/XMLAnnotationValue,http://www.openmicroscopy.org/rdf/XMLAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/dichroic,http://www.openmicroscopy.org/rdf/dichroic,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/sizeT,http://www.openmicroscopy.org/rdf/sizeT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/shape,http://www.openmicroscopy.org/rdf/shape,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/sizeC,http://www.openmicroscopy.org/rdf/sizeC,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/plane,http://www.openmicroscopy.org/rdf/plane,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/imagingEnvironment,http://metadb.riken.jp/db/ome/imagingEnvironment,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/lensNA,http://www.openmicroscopy.org/rdf/lensNA,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/model,http://www.openmicroscopy.org/rdf/model,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/filterWheel,http://metadb.riken.jp/db/ome/filterWheel,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/microbeamManipulation,http://www.openmicroscopy.org/rdf/microbeamManipulation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/channel,http://www.openmicroscopy.org/rdf/channel,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/zoom,http://www.openmicroscopy.org/rdf/zoom,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/rediusX,http://www.openmicroscopy.org/rdf/rediusX,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/lotNumber,http://metadb.riken.jp/db/ome/lotNumber,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/experimentType,http://www.openmicroscopy.org/rdf/experimentType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/length,http://www.openmicroscopy.org/rdf/length,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/wellOriginY,http://www.openmicroscopy.org/rdf/wellOriginY,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/contrastMethod,http://www.openmicroscopy.org/rdf/contrastMethod,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/immersion,http://www.openmicroscopy.org/rdf/immersion,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/frequencyMultiplication,http://metadb.riken.jp/db/ome/frequencyMultiplication,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/objectiveSettings,http://www.openmicroscopy.org/rdf/objectiveSettings,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/well,http://www.openmicroscopy.org/rdf/well,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/gain,http://www.openmicroscopy.org/rdf/gain,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/acquisitionDate,http://www.openmicroscopy.org/rdf/acquisitionDate,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/transform,http://www.openmicroscopy.org/rdf/transform,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/transmittance,http://www.openmicroscopy.org/rdf/transmittance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/columns,http://metadb.riken.jp/db/ome/columns,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/manufacturerSpec,http://www.openmicroscopy.org/rdf/manufacturerSpec,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/firstT,http://www.openmicroscopy.org/rdf/firstT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/laserMedium,http://www.openmicroscopy.org/rdf/laserMedium,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/cutOutTolerance,http://www.openmicroscopy.org/rdf/cutOutTolerance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/tuneable,http://www.openmicroscopy.org/rdf/tuneable,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/hashSHA1,http://www.openmicroscopy.org/rdf/hashSHA1,1
