Class1,Class2,Score
http://www.openmicroscopy.org/rdf/FLIP,https://w3id.org/reproduceme#FLIP,1
http://www.openmicroscopy.org/rdf/CommentAnnotation,https://w3id.org/reproduceme#Annotation,1
http://www.openmicroscopy.org/rdf/Dataset,https://w3id.org/reproduceme#Dataset,1
http://www.openmicroscopy.org/rdf/endTime,http://www.w3.org/ns/prov#atTime,1
http://www.openmicroscopy.org/rdf/InverseFRAP,https://w3id.org/reproduceme#InverseFRAP,1
http://www.openmicroscopy.org/rdf/FontFamily,https://w3id.org/reproduceme#Family,1
http://metadb.riken.jp/db/ome/Detector,https://w3id.org/reproduceme#Detector,1
http://www.openmicroscopy.org/rdf/Arc,https://w3id.org/reproduceme#Arc,1
http://www.openmicroscopy.org/rdf/DetectorSetting,https://w3id.org/reproduceme#DetectorSetting,1
http://www.openmicroscopy.org/rdf/TimeLapse,https://w3id.org/reproduceme#TimeLapse,1
http://www.openmicroscopy.org/rdf/SPIM,https://w3id.org/reproduceme#SPIM,1
http://www.openmicroscopy.org/rdf/Instrument,https://w3id.org/reproduceme#Instrument,1
http://www.openmicroscopy.org/rdf/Binning,https://w3id.org/reproduceme#Binning,1
http://www.openmicroscopy.org/rdf/Filter,https://w3id.org/reproduceme#Filter,1
http://www.openmicroscopy.org/rdf/Photoactivation,https://w3id.org/reproduceme#Photoactivation,1
http://www.openmicroscopy.org/rdf/PlateAcquisition,https://w3id.org/reproduceme#PlateAcquisition,1
http://www.openmicroscopy.org/rdf/WellSample,https://w3id.org/reproduceme#WellSample,1
http://www.openmicroscopy.org/rdf/Screen,https://w3id.org/reproduceme#Screen,1
http://www.openmicroscopy.org/rdf/Experiment,https://w3id.org/reproduceme#Experiment,1
http://www.openmicroscopy.org/rdf/Dichroic,https://w3id.org/reproduceme#Dichroic,1
http://purl.org/dc/elements/1.1/description,https://w3id.org/reproduceme#description,1
http://www.openmicroscopy.org/rdf/Image,https://w3id.org/reproduceme#Image,1
http://www.openmicroscopy.org/rdf/FluorescenceLifetime,https://w3id.org/reproduceme#FluorescenceLifetime,1
http://www.openmicroscopy.org/rdf/Electrophysiology,https://w3id.org/reproduceme#Electrophysiology,1
http://www.openmicroscopy.org/rdf/Manufacturer,https://w3id.org/reproduceme#Manufacturer,1
http://www.openmicroscopy.org/rdf/PGIDocumentation,https://w3id.org/reproduceme#PGIDocumentation,1
http://www.openmicroscopy.org/rdf/DimensionOrder,https://w3id.org/reproduceme#DimensionOrder,1
http://www.openmicroscopy.org/rdf/Photoablation,https://w3id.org/reproduceme#Photoablation,1
http://xmlns.com/foaf/0.1/Person,http://www.w3.org/ns/prov#Person,1
http://www.openmicroscopy.org/rdf/Plate,https://w3id.org/reproduceme#Plate,1
http://www.openmicroscopy.org/rdf/SpectralImaging,https://w3id.org/reproduceme#SpectralImaging,1
http://metadb.riken.jp/db/ome/Microscope,https://w3id.org/reproduceme#Microscope,1
http://www.openmicroscopy.org/rdf/LightPath,https://w3id.org/reproduceme#LightPath,1
http://www.openmicroscopy.org/rdf/GenericExcitationSource,https://w3id.org/reproduceme#GenericExcitationSource,1
http://www.openmicroscopy.org/rdf/Uncaging,https://w3id.org/reproduceme#Uncaging,1
http://www.openmicroscopy.org/rdf/Laser,https://w3id.org/reproduceme#Laser,1
http://www.openmicroscopy.org/rdf/Pulse,https://w3id.org/reproduceme#Pulse,1
http://www.openmicroscopy.org/rdf/Immunocytochemistry,https://w3id.org/reproduceme#Immunocytochemistry,1
http://www.openmicroscopy.org/rdf/Setting,https://w3id.org/reproduceme#Setting,1
http://www.openmicroscopy.org/rdf/endTime,http://www.w3.org/ns/prov#endedAtTime,1
http://www.openmicroscopy.org/rdf/TransmittanceRange,https://w3id.org/reproduceme#TransmittanceRange,1
http://www.openmicroscopy.org/rdf/IonImaging,https://w3id.org/reproduceme#IonImaging,1
http://www.openmicroscopy.org/rdf/RegionOfInterest,https://w3id.org/reproduceme#ROI,1
http://www.openmicroscopy.org/rdf/LightEmittingDiode,https://w3id.org/reproduceme#LightEmittingDiode,1
http://www.openmicroscopy.org/rdf/FilterType,https://w3id.org/reproduceme#FilterType,1
http://www.openmicroscopy.org/rdf/FRET,https://w3id.org/reproduceme#FRET,1
http://www.openmicroscopy.org/rdf/Experiment,https://w3id.org/reproduceme#SubExperiment,1
http://www.openmicroscopy.org/rdf/FRAP,https://w3id.org/reproduceme#FRAP,1
http://www.openmicroscopy.org/rdf/OpticalTrapping,https://w3id.org/reproduceme#OpticalTrapping,1
http://www.openmicroscopy.org/rdf/FISH,https://w3id.org/reproduceme#FISH,1
http://www.openmicroscopy.org/rdf/Filament,https://w3id.org/reproduceme#Filament,1
http://www.openmicroscopy.org/rdf/FourDPlus,https://w3id.org/reproduceme#FourDPlus,1
http://www.openmicroscopy.org/rdf/Protocol,https://w3id.org/reproduceme#Protocol,1
http://www.openmicroscopy.org/rdf/ContrastMethod,https://w3id.org/reproduceme#ContrastMethod,1
http://www.openmicroscopy.org/rdf/Immersion,https://w3id.org/reproduceme#Immersion,1
http://www.openmicroscopy.org/rdf/ExperimentType,https://w3id.org/reproduceme#ExperimentType,1
http://www.openmicroscopy.org/rdf/Channel,https://w3id.org/reproduceme#Channel,1
http://www.openmicroscopy.org/rdf/ImagingEnvironment,https://w3id.org/reproduceme#ImagingEnvironment,1
http://www.openmicroscopy.org/rdf/Shape,https://w3id.org/reproduceme#Shape,1
http://www.openmicroscopy.org/rdf/Collection,http://www.w3.org/ns/prov#Collection,1
http://www.openmicroscopy.org/rdf/File,https://w3id.org/reproduceme#File,1
http://www.openmicroscopy.org/rdf/Colocalization,https://w3id.org/reproduceme#Colocalization,1
http://metadb.riken.jp/db/ome/Phenotype,https://w3id.org/reproduceme#Phenotype,1
http://www.openmicroscopy.org/rdf/ObjectiveSettings,https://w3id.org/reproduceme#ObjectiveSettings,1
http://www.openmicroscopy.org/rdf/Medium,https://w3id.org/reproduceme#Medium,1
http://www.openmicroscopy.org/rdf/LightSource,https://w3id.org/reproduceme#LightSource,1
http://www.openmicroscopy.org/rdf/Objective,https://w3id.org/reproduceme#Objective,1
http://www.openmicroscopy.org/rdf/Pixels,https://w3id.org/reproduceme#Pixels,1
http://www.openmicroscopy.org/rdf/Immunofluorescence,https://w3id.org/reproduceme#Immunofluorescence,1
http://www.openmicroscopy.org/rdf/Model,https://w3id.org/reproduceme#Model,1
http://www.openmicroscopy.org/rdf/Reagent,https://w3id.org/reproduceme#Reagent,1
http://purl.obolibrary.org/obo/BFO_0000051,https://w3id.org/reproduceme#hasPart,1
http://purl.obolibrary.org/obo/CHEBI_15841,https://w3id.org/reproduceme#Protein,1
http://purl.obolibrary.org/obo/PATO_0000117,https://w3id.org/reproduceme#Size,1
http://purl.obolibrary.org/obo/PATO_0000140,http://www.w3.org/ns/prov#Location,1
http://purl.obolibrary.org/obo/BFO_0000050,https://w3id.org/reproduceme#hasPart,1
http://purl.obolibrary.org/obo/BFO_0000051,https://w3id.org/reproduceme#isPartOf,1
http://purl.obolibrary.org/obo/BFO_0000050,https://w3id.org/reproduceme#isPartOf,1
http://purl.obolibrary.org/obo/PATO_0000033,https://w3id.org/reproduceme#Concentration,1
http://purl.obolibrary.org/obo/PATO_0000052,https://w3id.org/reproduceme#Shape,1
http://purl.obolibrary.org/obo/PATO_0000052,http://www.openmicroscopy.org/rdf/2016-06/ome_core/Shape,1
http://purl.obolibrary.org/obo/PATO_0000016,http://www.openmicroscopy.org/rdf/2016-06/ome_core/Color,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag,http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Point,http://www.openmicroscopy.org/rdf/Point,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/union,http://metadb.riken.jp/db/ome/union,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#SPIM,http://www.openmicroscopy.org/rdf/SPIM,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/key,http://www.openmicroscopy.org/rdf/key,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Objective,http://www.openmicroscopy.org/rdf/Objective,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Dataset,http://www.openmicroscopy.org/rdf/Dataset,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/shape,http://www.openmicroscopy.org/rdf/shape,1
http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/identifier,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/cutIn,http://www.openmicroscopy.org/rdf/cutIn,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/A10,http://www.openmicroscopy.org/rdf/A10,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode,http://www.openmicroscopy.org/rdf/AcquisitionMode,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/maximumFieldCount,http://www.openmicroscopy.org/rdf/maximumFieldCount,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/illuminationType,http://www.openmicroscopy.org/rdf/illuminationType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Shape,http://www.openmicroscopy.org/rdf/Shape,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/reagent,http://www.openmicroscopy.org/rdf/reagent,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/voltage,http://www.openmicroscopy.org/rdf/voltage,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/wellSample,http://www.openmicroscopy.org/rdf/wellSample,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Immersion,http://www.openmicroscopy.org/rdf/Immersion,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/image,http://www.openmicroscopy.org/rdf/image,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/deltaT,http://www.openmicroscopy.org/rdf/deltaT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/rows,http://www.openmicroscopy.org/rdf/rows,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Label,http://www.openmicroscopy.org/rdf/Label,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Filter,http://www.openmicroscopy.org/rdf/Filter,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fillColor,http://www.openmicroscopy.org/rdf/fillColor,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration#inverseFRAP,http://www.openmicroscopy.org/rdf/InverseFRAP,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/cutInTolerance,http://www.openmicroscopy.org/rdf/cutOutTolerance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#ionImaging,http://www.openmicroscopy.org/rdf/IonImaging,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/startTime,http://www.openmicroscopy.org/rdf/startTime,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/physicalSizeY,http://www.openmicroscopy.org/rdf/physicalSizeY,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/serialNumber,http://metadb.riken.jp/db/ome/serialNumber,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType,http://www.openmicroscopy.org/rdf/ExperimentType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fontSize,http://www.openmicroscopy.org/rdf/fontSize,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/refractiveIndex,http://www.openmicroscopy.org/rdf/refractiveIndex,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/leader,http://www.openmicroscopy.org/rdf/leader,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/integration,http://www.openmicroscopy.org/rdf/integration,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/positionX,http://www.openmicroscopy.org/rdf/positionX,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/significantBits,http://www.openmicroscopy.org/rdf/significantBits,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/exposureTime,http://www.openmicroscopy.org/rdf/exposureTime,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Dichroic,http://www.openmicroscopy.org/rdf/Dichroic,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/transmittance,http://www.openmicroscopy.org/rdf/transmittance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/experimentType,http://www.openmicroscopy.org/rdf/experimentType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/commentAnnotationValue,http://www.openmicroscopy.org/rdf/commentAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration#photoablation,http://www.openmicroscopy.org/rdf/Photoablation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fieldIndex,http://www.openmicroscopy.org/rdf/fieldIndex,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/amplificationGain,http://www.openmicroscopy.org/rdf/amplificationGain,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/rediusY,http://www.openmicroscopy.org/rdf/rediusY,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/externalIdentifier,http://metadb.riken.jp/db/ome/externalIdentifier,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Plane,http://www.openmicroscopy.org/rdf/Plane,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/size,http://www.openmicroscopy.org/rdf/fontSize,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#fourDPlus,http://www.openmicroscopy.org/rdf/FourDPlus,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/experiment,http://www.openmicroscopy.org/rdf/experiment,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/externalIdentifier,http://www.openmicroscopy.org/rdf/externalIdentifier,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fillRule,http://www.openmicroscopy.org/rdf/fillRule,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/samplesPerPixel,http://www.openmicroscopy.org/rdf/samplesPerPixel,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#PGIDocumentation,http://www.openmicroscopy.org/rdf/PGIDocumentation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/cutOutTolerance,http://www.openmicroscopy.org/rdf/cutOutTolerance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/sizeT,http://www.openmicroscopy.org/rdf/sizeT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/index,http://metadb.riken.jp/db/ome/index,1
http://xmlns.com/foaf/0.1/thumbnail,http://xmlns.com/foaf/0.1/thumbnail,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/physicalSizeZ,http://www.openmicroscopy.org/rdf/physicalSizeZ,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/microscope,http://www.openmicroscopy.org/rdf/microscope,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterSet,http://www.openmicroscopy.org/rdf/FilterSet,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Filament,http://www.openmicroscopy.org/rdf/Filament,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/longAnnotationValue,http://www.openmicroscopy.org/rdf/longAnnotationValue,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/timeIncrement,http://www.openmicroscopy.org/rdf/timeIncrement,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DoubleAnnotation,http://www.openmicroscopy.org/rdf/DoubleAnnotation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/pulse,http://www.openmicroscopy.org/rdf/pulse,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/immersion,http://www.openmicroscopy.org/rdf/immersion,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/transmittanceRange,http://www.openmicroscopy.org/rdf/transmittanceRange,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Plate,http://www.openmicroscopy.org/rdf/Plate,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/waveLength,http://www.openmicroscopy.org/rdf/waveLength,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/color,http://www.openmicroscopy.org/rdf/color,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Binning,http://www.openmicroscopy.org/rdf/Binning,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/TransmittanceRange,http://www.openmicroscopy.org/rdf/TransmittanceRange,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/theT,http://www.openmicroscopy.org/rdf/theT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/reagentSet,http://www.openmicroscopy.org/rdf/reagentSet,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#screen,http://www.openmicroscopy.org/rdf/Screen,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/A12,http://www.openmicroscopy.org/rdf/A12,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/positionZ,http://www.openmicroscopy.org/rdf/positionZ,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterType,http://www.openmicroscopy.org/rdf/FilterType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/dataset,http://www.openmicroscopy.org/rdf/dataset,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fontStyle,http://www.openmicroscopy.org/rdf/fontStyle,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DimensionOrder,http://www.openmicroscopy.org/rdf/DimensionOrder,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/correctionCollar,http://www.openmicroscopy.org/rdf/correctionCollar,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ImagingEnvironment,http://www.openmicroscopy.org/rdf/ImagingEnvironment,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/y,http://www.openmicroscopy.org/rdf/y,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#spectralImaging,http://www.openmicroscopy.org/rdf/SpectralImaging,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/MapAnnotation,http://www.openmicroscopy.org/rdf/MapAnnotation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Transform,http://www.openmicroscopy.org/rdf/Transform,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/humidity,http://www.openmicroscopy.org/rdf/humidity,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/model,http://www.openmicroscopy.org/rdf/model,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/strokeWidth,http://www.openmicroscopy.org/rdf/strokeWidth,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/compression,http://www.openmicroscopy.org/rdf/compression,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/dichroic,http://www.openmicroscopy.org/rdf/dichroic,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Pixels,http://www.openmicroscopy.org/rdf/Pixels,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/protocol,http://www.openmicroscopy.org/rdf/protocol,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#FISH,http://www.openmicroscopy.org/rdf/FISH,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/wellType,http://metadb.riken.jp/db/ome/wellType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Microscope#electrophysiology,http://www.openmicroscopy.org/rdf/Electrophysiology,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/status,http://metadb.riken.jp/db/ome/status,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/height,http://www.openmicroscopy.org/rdf/height,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/firstT,http://www.openmicroscopy.org/rdf/firstT,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/frequencyMultiplication,http://www.openmicroscopy.org/rdf/frequencyMultiplication,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/tagAnnotation,http://www.openmicroscopy.org/rdf/tagAnnotation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/data,http://www.openmicroscopy.org/rdf/data,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/workingDistance,http://www.openmicroscopy.org/rdf/workingDistance,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/columns,http://www.openmicroscopy.org/rdf/columns,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/lensNA,http://www.openmicroscopy.org/rdf/lensNA,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/LightSource,http://www.openmicroscopy.org/rdf/LightSource,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#photoablation,http://www.openmicroscopy.org/rdf/Photoablation,1
