Class1,Class2,Score
http://www.openmicroscopy.org/rdf/2016-06/ome_core/BooleanAnnotation,http://www.openmicroscopy.org/rdf/BooleanAnnotation,1.1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ObjectiveSettings,http://www.openmicroscopy.org/rdf/ObjectiveSettings,1.1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DoubleAnnotation,http://www.openmicroscopy.org/rdf/DoubleAnnotation,1.1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FileAnnotation,http://www.openmicroscopy.org/rdf/FileAnnotation,1.1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorSettings,http://www.openmicroscopy.org/rdf/DetectorSetting,1.1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Settings,http://www.openmicroscopy.org/rdf/Setting,1.06
http://www.openmicroscopy.org/rdf/2016-06/ome_core/StructuredAnnotation,http://www.openmicroscopy.org/rdf/StructuredAnnotation,1.03
http://www.openmicroscopy.org/rdf/Instrument,https://w3id.org/reproduceme#Instrument,1.02
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterType#tuneable,https://w3id.org/reproduceme#Tuneable,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode#PALM,https://w3id.org/reproduceme#PALM,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/IlluminationType#epifluorescence,https://w3id.org/reproduceme#Epifluorescence,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod#brightfield,https://w3id.org/reproduceme#Brightfield,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode#STORM,https://w3id.org/reproduceme#STORM,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser/semiconductor,https://w3id.org/reproduceme#Semiconductor,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType#APD,https://w3id.org/reproduceme#APD,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod#DIC,https://w3id.org/reproduceme#DIC,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod#brightfield,https://w3id.org/reproduceme#BrightField,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/IlluminationType#transmitted,https://w3id.org/reproduceme#Transmitted,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Microscope#inverted,https://w3id.org/reproduceme#Inverted,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilamentType#Halogen,https://w3id.org/reproduceme#Halogen,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration#photoactivation,https://w3id.org/reproduceme#Photoactivation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType#photoablation,https://w3id.org/reproduceme#Photoablation,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser/dye,https://w3id.org/reproduceme#Dye,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod#darkfield,https://w3id.org/reproduceme#Darkfield,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType#CCD,https://w3id.org/reproduceme#CCD,1
