Class1,Class2,Score
http://www.w3.org/ns/prov#Entity,http://purl.org/net/p-plan#Entity,1.08
http://purl.org/net/opmv/ns#wasDerivedFrom,http://www.w3.org/ns/prov#wasDerivedFrom,1
http://purl.org/net/opmv/ns#used,http://www.w3.org/ns/prov#used,1
http://purl.org/net/opmv/ns#used,http://www.w3.org/ns/prov#used,1
http://purl.org/net/opmv/ns#wasGeneratedBy,http://www.w3.org/ns/prov#wasGeneratedBy,1
http://purl.org/net/opmv/ns#wasDerivedFrom,http://www.w3.org/ns/prov#wasDerivedFrom,1
http://purl.org/net/opmv/ns#wasGeneratedBy,http://www.w3.org/ns/prov#wasGeneratedBy,1
http://purl.org/net/p-plan#Bundle,http://www.w3.org/ns/prov#Bundle,1
http://openprovenance.org/model/opmo#hasArtifact,http://purl.org/wf4ever/wfdesc#hasArtifact,1
http://www.ontologydesignpatterns.org/cp/owl/partof.owl#hasPart,http://purl.org/dc/terms/hasPart,1
http://www.ontologydesignpatterns.org/cp/owl/partof.owl#isPartOf,http://purl.org/dc/terms/isPartOf,1
http://www.ontologydesignpatterns.org/cp/owl/partof.owl#isPartOf,http://purl.org/dc/terms/isPartOf,1
http://www.ontologydesignpatterns.org/cp/owl/partof.owl#hasPart,http://purl.org/dc/terms/hasPart,1
http://purl.org/net/p-plan#Bundle,http://www.w3.org/ns/prov#Bundle,1
http://purl.org/net/p-plan#Plan,http://www.w3.org/ns/prov#Plan,0.96
http://purl.org/net/p-plan#Plan,http://www.w3.org/ns/prov#Plan,0.96
http://purl.org/net/p-plan#hasInputVar,http://purl.org/wf4ever/wfdesc#hasInput,0.91
http://openprovenance.org/model/opmo#hasProcess,http://purl.org/wf4ever/wfdesc#hasSubProcess,0.91
http://purl.dataone.org/provone/2015/01/15/ontology#Document,http://purl.org/wf4ever/wf4ever#Document,0.9
http://purl.dataone.org/provone/2015/01/15/ontology#Workflow,http://purl.org/wf4ever/wfdesc#Workflow,0.87
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfprov#Artifact,0.87
http://purl.org/net/p-plan#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0.86
http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,http://www.w3.org/ns/prov#Plan,0.85
http://purl.org/net/opmv/ns#Process,http://purl.org/wf4ever/wfdesc#Process,0.84
http://purl.org/net/opmv/ns#Process,http://purl.org/wf4ever/wfdesc#Process,0.84
http://purl.dataone.org/provone/2015/01/15/ontology#Workflow,http://purl.org/spar/pwo/Workflow,0.82
http://www.w3.org/ns/prov#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0.82
http://purl.org/spar/pwo/Workflow,http://purl.org/wf4ever/wfdesc#Workflow,0.82
http://openprovenance.org/model/opmo#Entity,http://www.w3.org/ns/prov#Entity,0.74
http://openprovenance.org/model/opmo#Entity,http://www.w3.org/ns/prov#Entity,0.72
http://purl.org/net/opmv/ns#Agent,http://www.ontologydesignpatterns.org/cp/owl/agentrole.owl#Agent,0.7
http://www.w3.org/ns/prov#Agent,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl#Agent,0.7
http://www.w3.org/ns/prov#Role,http://www.ontologydesignpatterns.org/cp/owl/taskrole.owl#Role,0.7
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfdesc#Artifact,0.7
http://rdfs.org/ns/void#Dataset,http://purl.org/wf4ever/wf4ever#Dataset,0.7
http://www.w3.org/ns/prov#Role,http://www.ontologydesignpatterns.org/cp/owl/objectrole.owl#Role,0.7
http://www.w3.org/ns/prov#Agent,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl#Agent,0.7
http://openprovenance.org/model/opmo#Role,http://www.w3.org/ns/prov#Role,0.7
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfdesc#Artifact,0.7
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfdesc#Artifact,0.7
http://www.w3.org/ns/prov#Bundle,http://purl.org/net/p-plan#Bundle,0.7
