Class1,Class2,Score
http://purl.org/wf4ever/ro#ResearchObject,http://purl.org/wf4ever/ro#ResearchObject,1
http://purl.org/spar/pwo/Workflow,http://purl.org/wf4ever/wfdesc#Workflow,1
http://purl.org/spar/pwo/Workflow,http://purl.org/wf4ever/wfdesc#Workflow,1
http://purl.org/net/p-plan#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0.999861613
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfprov#Artifact,0.999751123
http://purl.org/net/opmv/ns#wasGeneratedBy,http://www.w3.org/ns/prov#wasGeneratedBy,0.999417078
http://purl.org/net/opmv/ns#wasDerivedFrom,http://www.w3.org/ns/prov#wasDerivedFrom,0.999270096
http://purl.org/net/p-plan#Variable,http://www.w3.org/2003/11/swrl#Variable,0.999245648
http://purl.org/net/opmv/ns#used,http://www.w3.org/ns/prov#used,0.999238222
http://purl.org/net/p-plan#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0.999035804
http://purl.org/net/p-plan#Variable,http://www.w3.org/2003/11/swrl#Variable,0.998798578
http://purl.org/net/opmv/ns#wasDerivedFrom,http://www.w3.org/ns/prov#wasDerivedFrom,0.998797467
http://purl.org/net/opmv/ns#wasGeneratedBy,http://www.w3.org/ns/prov#wasGeneratedBy,0.998717928
http://purl.org/net/opmv/ns#used,http://www.w3.org/ns/prov#used,0.998688359
http://www.w3.org/ns/prov#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0.9985091
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfprov#Artifact,0.997953004
http://purl.org/net/opmv/ns#Agent,http://www.w3.org/ns/prov#Agent,0.993681145
http://purl.dataone.org/provone/2015/01/15/ontology#Workflow,http://purl.org/wf4ever/wfdesc#Workflow,0.990433787
http://rdfs.org/ns/void#Dataset,http://purl.org/wf4ever/wf4ever#Dataset,0.987121943
http://openprovenance.org/model/opmo#Entity,http://www.w3.org/ns/prov#Entity,0.975595406
http://openprovenance.org/model/opmo#Entity,http://www.w3.org/ns/prov#Entity,0.975533486
http://openprovenance.org/model/opmo#Entity,http://www.w3.org/ns/prov#Entity,0.971457534
http://purl.org/wf4ever/wfprov#Artifact,http://purl.org/wf4ever/wfdesc#Artifact,0.943451379
http://openprovenance.org/model/opmo#hasArtifact,http://purl.org/wf4ever/wfdesc#hasArtifact,0.932179616
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfdesc#Artifact,0.894974212
http://purl.dataone.org/provone/2015/01/15/ontology#Document,http://purl.org/wf4ever/wf4ever#Document,0.875259768
http://openprovenance.org/model/opmo#wasDerivedFromStar,http://purl.org/net/opmv/ns#wasDerivedFrom,0.865091394
http://purl.dataone.org/provone/2015/01/15/ontology#Workflow,http://purl.org/spar/pwo/Workflow,0.858295258
http://purl.org/net/opmv/ns#wasControlledBy,http://purl.dataone.org/provone/2015/01/15/ontology#Controller,0.832700424
http://openprovenance.org/model/opmo#causeWasDerivedFrom,http://www.w3.org/ns/prov#wasDerivedFrom,0.810714079
http://purl.org/net/opmv/ns#wasGeneratedBy,http://www.opmw.org/ontology/isGeneratedBy,0.794469128
http://purl.org/net/opmv/ns#Process,http://purl.org/wf4ever/wfdesc#Process,0.792119731
http://purl.org/net/p-plan#Step,http://purl.org/spar/pwo/Step,0.784808623
http://purl.org/net/p-plan#Step,http://purl.org/spar/pwo/Step,0.784056689
http://openprovenance.org/model/opmo#startTime,http://www.opmw.org/ontology/overallStartTime,0.774572934
http://purl.org/net/p-plan#isPrecededBy,http://www.ontologydesignpatterns.org/cp/owl/sequence.owl#precedes,0.771180426
http://openprovenance.org/model/opmo#value,http://www.opmw.org/ontology/hasValue,0.769160447
http://openprovenance.org/model/opmo#causeWasControlledBy,http://purl.dataone.org/provone/2015/01/15/ontology#controlledBy,0.75644734
http://www.opmw.org/ontology/ParameterVariable,http://purl.org/wf4ever/wfdesc#Parameter,0.739857828
http://www.w3.org/ns/prov#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl#PlanExecution,0.730259931
http://purl.dataone.org/provone/2015/01/15/ontology#Execution,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl#PlanExecution,0.709752081
