Class,Ontologies
material_entity,"['http://purl.org/isaterms', 'http://www.ifomis.org/bfo/1.1/snap']"
Author,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
hasPart,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
Sample,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
Title,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/isaterms']"
Collection,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://www.w3.org/ns/prov']"
Image,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'https://w3id.org/reproduceme', 'http://purl.org/isaterms']"
QualityControl,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'https://w3id.org/reproduceme']"
Model,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'https://w3id.org/reproduceme']"
StandardOperatingProcedure,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'https://w3id.org/reproduceme']"
Organization,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://www.w3.org/ns/prov', 'http://purl.org/isaterms']"
Software,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'https://w3id.org/reproduceme', 'http://purl.obolibrary.org/obo']"
publication,"['http://purl.org/isaterms', 'http://purl.org/net/SMARTprotocol', 'https://w3id.org/reproduceme']"
author,"['http://purl.org/isaterms', 'http://purl.obolibrary.org/obo/OGI.owl', 'https://w3id.org/reproduceme']"
has_part,"['http://purl.org/isaterms', 'http://www.obofoundry.org/ro/ro.owl', 'https://w3id.org/reproduceme']"
file,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
measurement,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme', 'http://semanticscience.org/resource']"
study,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
person,"['http://purl.org/isaterms', 'http://www.w3.org/ns/prov']"
description,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
assay,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
unit,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
protocol,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
source,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
parameter,"['http://purl.org/isaterms', 'https://w3id.org/reproduceme']"
Process,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/isaterms']"
Name,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/isaterms']"
IDExperiment,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'https://w3id.org/reproduceme']"
Variable,"['http://www.hozo.jp/owl/EXPOApr19.xml', 'http://purl.org/net/p-plan']"
