Class,Ontologies
Algorithm,"['http://www.khaos.uma.es/perception/bigowl', 'http://mex.aksw.org/mex-algo', 'http://www.w3.org/ns/mls', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl']"
Feature,"['http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl', 'http://mex.aksw.org/mex-core', 'http://www.w3.org/ns/mls']"
activity,"['http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://www.w3.org/ns/prov-o', 'http://www.w3.org/ns/prov']"
collection,"['http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://www.w3.org/ns/prov-o', 'http://www.w3.org/ns/prov']"
CrossValidation,"['http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl', 'http://mex.aksw.org/mex-core']"
StructuredType,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl']"
PrimitiveType,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl']"
WorkflowTemplate,"['http://www.opmw.org/ontology', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl']"
DataProcessingAlgorithm,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl']"
DataType,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl', 'http://kt.ijs.si/panovp/OntoDT']"
Task,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.w3.org/ns/mls', 'http://www.loa-cnr.it/ontologies/ExtendedDnS.owl']"
Data,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.w3.org/ns/mls']"
Implementation,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.w3.org/ns/mls']"
plan,"['http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://www.w3.org/ns/prov']"
project,"['http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://usefulinc.com/ns/doap', 'http://xmlns.com/foaf/0.1', 'http://xmlns.com/wordnet/1.6']"
role,"['http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://www.w3.org/ns/prov']"
concept,"['http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://www.w3.org/2004/02/skos/core']"
Agent,"['http://purl.org/net/opmv/ns', 'http://purl.org/dc/terms', 'http://www.w3.org/ns/prov', 'http://www.w3.org/ns/prov-o']"
Image,"['http://www.khaos.uma.es/perception/bigowl', 'http://xmlns.com/foaf/0.1']"
solves,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl']"
DataCollection,"['http://www.khaos.uma.es/perception/bigowl', 'http://www.loa-cnr.it/ontologies/ExtendedDnS.owl', 'http://www.w3.org/ns/prov-o']"
Parameter,"['http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl', 'http://www.loa-cnr.it/ontologies/ExtendedDnS.owl']"
