Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
Algorithm,Algorithm,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://mex.aksw.org/mex-algo,1
Feature,Feature,TRUE,FALSE,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,http://mex.aksw.org/mex-core,1
activity,Activity,FALSE,FALSE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
collection,Collection,FALSE,FALSE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
CrossValidation,CrossValidation,TRUE,FALSE,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,http://mex.aksw.org/mex-core,1
StructuredType,StructuredType,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
PrimitiveType,PrimitiveType,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
WorkflowTemplate,WorkflowTemplate,TRUE,FALSE,http://www.opmw.org/ontology,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
DataProcessingAlgorithm,DataProcessingAlgorithm,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
DataType,DataType,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
collection,Collection,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
activity,Activity,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
activity,Activity,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
collection,Collection,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
Algorithm,Algorithm,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://mex.aksw.org/mex-algo,1
Algorithm,Algorithm,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://mex.aksw.org/mex-algo,1
StructuredType,StructuredType,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
DataProcessingAlgorithm,DataProcessingAlgorithm,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
WorkflowTemplate,WorkflowTemplate,TRUE,TRUE,http://www.opmw.org/ontology,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
PrimitiveType,PrimitiveType,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
DataType,DataType,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
Task,Task,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
Data,Data,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
Algorithm,Algorithm,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
Implementation,Implementation,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
StructuredType,StructuredType,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
WorkflowTemplate,WorkflowTemplate,TRUE,TRUE,http://www.opmw.org/ontology,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
PrimitiveType,PrimitiveType,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
DataProcessingAlgorithm,DataProcessingAlgorithm,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
DataType,DataType,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,1
Algorithm,Algorithm,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
Implementation,Implementation,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
Task,Task,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
Data,Data,TRUE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.w3.org/ns/mls,1
CrossValidation,CrossValidation,TRUE,TRUE,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,http://mex.aksw.org/mex-core,1
Feature,Feature,TRUE,TRUE,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,http://mex.aksw.org/mex-core,1
activity,Activity,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
collection,Collection,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov-o,1
Task,task,FALSE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,0.85
Task,task,FALSE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,0.85
plan,Plan,FALSE,FALSE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
project,Project,FALSE,FALSE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://usefulinc.com/ns/doap,0.7
project,Project,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://xmlns.com/foaf/0.1,0.7
collection,Collection,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
role,Role,FALSE,FALSE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
concept,Concept,FALSE,FALSE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/2004/02/skos/core,0.7
activity,Activity,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
project,Project,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://xmlns.com/wordnet/1.6,0.7
Agent,Agent,TRUE,FALSE,http://purl.org/net/opmv/ns,http://purl.org/dc/terms,0.7
Agent,Agent,TRUE,TRUE,http://purl.org/net/opmv/ns,http://www.w3.org/ns/prov,0.7
Image,Image,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://xmlns.com/foaf/0.1,0.7
solves,solves,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
DataCollection,collection,FALSE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,0.7
Parameter,parameter,FALSE,FALSE,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,0.7
Integer,Integer,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
specifiesOutputClass,specifiesOutputClass,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
Algorithm,DM-Algorithm,FALSE,TRUE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
String,String,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
hasComponent,hasComponent,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
hasDataType,hasDataType,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
hasDataValue,hasDataValue,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
PredictingAlgorithm,PredictiveModelingAlgorithm,FALSE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
specifiesInputClass,specifiesInputClass,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
DataProcessing,DataProcessingTask,FALSE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
hasParameter,hasParameter,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
hasDefaultValue,hasDefaultValue,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
Boolean,Boolean,TRUE,FALSE,http://www.khaos.uma.es/perception/bigowl,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,0.7
concept,Concept,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/2004/02/skos/core,0.7
project,Project,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://xmlns.com/wordnet/1.6,0.7
DataSet,Dataset,FALSE,FALSE,http://www.e-lico.eu/ontologies/dmo/DMOP/DMOP.owl,http://mex.aksw.org/mex-core,0.7
role,Role,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
project,Project,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://xmlns.com/foaf/0.1,0.7
collection,Collection,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
project,Project,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://usefulinc.com/ns/doap,0.7
plan,Plan,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
activity,Activity,FALSE,TRUE,http://www.loa-cnr.it/ontologies/ExtendedDnS.owl,http://www.w3.org/ns/prov,0.7
Task,Task,TRUE,TRUE,http://www.w3.org/ns/mls,http://www.khaos.uma.es/perception/bigowl,0
Data,Data,TRUE,TRUE,http://www.w3.org/ns/mls,http://www.khaos.uma.es/perception/bigowl,0
