Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
data_2131,SWO_0000021,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_4007,SWO_0000005,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3467,SWO_3000019,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_1982,SWO_0000051,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3547,SWO_3000008,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3696,SWO_3000024,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3592,SWO_3000011,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
operation_0492,SWO_7000003,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/objective,0
data_1364,SWO_0000217,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3752,SWO_3000082,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
operation_0292,SWO_7000002,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/objective,0
format_3603,SWO_3000018,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3996,SWO_0000118,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3651,SWO_3000083,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_2573,SWO_0000374,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3987,SWO_3000078,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3847,SWO_0000249,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3591,SWO_3000016,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3583,SWO_3000072,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3822,SWO_3000050,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
topic_0607,SWO_4000009,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/objective,0
format_3788,SWO_3000085,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3555,SWO_0000075,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
operation_3223,SWO_7000018,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/objective,0
format_3604,SWO_3000022,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
format_3829,SWO_0000566,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3998,SWO_0000115,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3814,SWO_0000381,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
operation_3937,SWO_7000019,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/objective,0
operation_2436,SWO_0000174,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3621,SWO_0000709,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo,0
format_3619,SWO_3000049,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
operation_0491,SWO_7000004,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/objective,0
format_3579,SWO_3000017,False,False,http://edamontology.org,http://www.ebi.ac.uk/swo/data,0
