Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
has_output,hasOutput,False,False,http://purl.org/isaterms,http://purl.org/net/SMARTprotocol,0.7
has_part,has_part,True,False,http://purl.org/isaterms,http://www.obofoundry.org/ro/ro.owl,0.7
label,Class_61,False,False,http://purl.org/isaterms,http://www.owl-ontologies.com/Ontology1184060740.owl,0.7
name,C42614,False,False,http://purl.org/isaterms,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl,0.7
material_entity,MaterialEntity,False,False,http://purl.org/isaterms,http://www.ifomis.org/bfo/1.1/snap,1
Sample,sample,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,1
ExperimentalTechnology,technology,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.7
MeasurementError,measurement,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.7
Image,image_file,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.7
hasPart,has_part,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,1
Organization,organisation,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.85
PublicStatus,publication_status,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.7
Title,title,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,1
Name,name,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.85
Author,author,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,1
Process,process,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/isaterms,0.85
OBI_0400106,Class_53,False,False,http://purl.obolibrary.org/obo,http://www.owl-ontologies.com/Ontology1184060740.owl,0
hasExperimentalInputs,hasExperimentalInput,False,False,http://purl.org/net/SMARTprotocol,http://purl.org/net/SMARTprotocol,0
Model,Model,True,False,http://www.hozo.jp/owl/EXPOApr19.xml,https://w3id.org/reproduceme,1
has_method,usedMethod,False,False,http://www.hozo.jp/owl/EXPOApr19.xml,https://w3id.org/reproduceme,0.85
Plan,Plan,True,False,http://www.hozo.jp/owl/EXPOApr19.xml,http://purl.org/net/p-plan,0.85
