Class,Ontologies
PlateAcquisition,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
FilterType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Image,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Plate,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
LightEmittingDiode,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
LightSource,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
ExperimenterGroup,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Model,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
ImagingEnvironment,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
AcquisitionMode,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Protocol,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
DetectorType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
FilamentType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
ArcType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
StageLabel,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
Laser,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Arc,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
ContrastMethod,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Correction,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
ObjectiveSettings,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Manufacturer,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
RegionOfInterest,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
DetectorSettings,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Shape,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
LightSourceSettings,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
GenericExcitationSource,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Screen,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Channel,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Filter,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Pixels,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
ExperimentType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Reagent,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Dataset,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
LightPath,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
NamingConvention,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Settings,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Binning,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
PixelType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
WellSample,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Dichroic,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Medium,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
ManufacturerSpec,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Filament,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Microscope,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://metadb.riken.jp/db/ome']"
Immersion,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Objective,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Annotation,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme']"
Experiment,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Instrument,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
MicrobeamManipuration,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
TransmittanceRange,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Detector,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://metadb.riken.jp/db/ome']"
Plane,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
Pulse,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
DimensionOrder,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
DetectorSetting,"['http://www.openmicroscopy.org/rdf', 'https://w3id.org/reproduceme']"
Collection,"['http://www.openmicroscopy.org/rdf', 'http://www.w3.org/ns/prov']"
File,"['http://www.openmicroscopy.org/rdf', 'https://w3id.org/reproduceme']"
Phenotype,"['http://metadb.riken.jp/db/ome', 'https://w3id.org/reproduceme']"
Setting,"['http://www.openmicroscopy.org/rdf', 'https://w3id.org/reproduceme']"
xytcz,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DimensionOrder', 'https://w3id.org/reproduceme']"
nearFieldScanningOpticalMicroscopy,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
SPIM,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType']"
photoablation,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration']"
uncaging,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration', 'https://w3id.org/reproduceme']"
endTime,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'http://www.w3.org/ns/prov', 'http://www.openmicroscopy.org/rdf']"
Person,"['http://xmlns.com/foaf/0.1', 'http://www.w3.org/ns/prov']"
Well,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
FLIP,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration', 'https://w3id.org/reproduceme']"
totalInternalReflection,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
structuredIllumination,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
fluorescenceLifetime,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType']"
description,"['http://purl.org/dc/elements/1.1', 'https://w3id.org/reproduceme']"
multiPhotonMicroscopy,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
inverseFRAP,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration', 'https://w3id.org/reproduceme']"
darkfield,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod', 'https://w3id.org/reproduceme']"
photoactivation,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType']"
multiPass,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterType', 'https://w3id.org/reproduceme']"
epifluorescence,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/IlluminationType', 'https://w3id.org/reproduceme']"
neutralDensity,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterType', 'https://w3id.org/reproduceme']"
gas,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser', 'https://w3id.org/reproduceme']"
xyczt,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DimensionOrder', 'https://w3id.org/reproduceme']"
Incandescent,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilamentType', 'https://w3id.org/reproduceme']"
brightField,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
bandPass,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterType', 'https://w3id.org/reproduceme']"
TIRF,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
PMT,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
STED,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
spectroscopy,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
analogVideo,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
CMOS,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
fourDPlus,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType', 'https://w3id.org/reproduceme']"
laserScanningConfocalMicroscopy,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
xyztc,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DimensionOrder', 'https://w3id.org/reproduceme']"
CCD,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
electrophysiology,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/Microscope', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType']"
excimer,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser', 'https://w3id.org/reproduceme']"
polarizedLight,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod', 'https://w3id.org/reproduceme']"
xyzct,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DimensionOrder', 'https://w3id.org/reproduceme']"
FRET,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType', 'https://w3id.org/reproduceme']"
freeElectron,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser', 'https://w3id.org/reproduceme']"
obliqueIllumination,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod', 'https://w3id.org/reproduceme']"
xytzc,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DimensionOrder', 'https://w3id.org/reproduceme']"
inverted,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/Microscope', 'https://w3id.org/reproduceme']"
Halogen,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilamentType', 'https://w3id.org/reproduceme']"
intensifiedCCD,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
dye,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser', 'https://w3id.org/reproduceme']"
fluorescenceCorrelationSpectroscopy,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
brightfield,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod', 'https://w3id.org/reproduceme']"
oblique,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/IlluminationType', 'https://w3id.org/reproduceme']"
LCM,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
lifetimeImaging,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
FTIR,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType', 'https://w3id.org/reproduceme']"
spinningDiskConfocal,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode', 'https://w3id.org/reproduceme']"
IlluminationType,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core', 'https://w3id.org/reproduceme', 'http://www.openmicroscopy.org/rdf']"
HgXe,"['http://www.openmicroscopy.org/rdf/2016-06/ome_core/ArcType', 'https://w3id.org/reproduceme']"
