Class1,Class2,Score
http://www.openmicroscopy.org/rdf/2016-06/ome_core/PlateAcquisition,https://w3id.org/reproduceme#PlateAcquisition,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilterType,https://w3id.org/reproduceme#FilterType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Image,https://w3id.org/reproduceme#Image,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Plate,https://w3id.org/reproduceme#Plate,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/LightEmittingDiode,https://w3id.org/reproduceme#LightEmittingDiode,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/LightSource,https://w3id.org/reproduceme#LightSource,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimenterGroup,https://w3id.org/reproduceme#ExperimenterGroupConfig,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Model,https://w3id.org/reproduceme#Model,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ImagingEnvironment,https://w3id.org/reproduceme#ImagingEnvironment,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/AcquisitionMode,https://w3id.org/reproduceme#AcquisitionMode,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Protocol,https://w3id.org/reproduceme#Protocol,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorType,https://w3id.org/reproduceme#DetectorType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/FilamentType,https://w3id.org/reproduceme#FilamentType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ArcType,https://w3id.org/reproduceme#ArcType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/StageLabel,https://w3id.org/reproduceme#StageLabel,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Laser,https://w3id.org/reproduceme#Laser,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Arc,https://w3id.org/reproduceme#Arc,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ContrastMethod,https://w3id.org/reproduceme#ContrastMethod,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Correction,https://w3id.org/reproduceme#Correction,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ObjectiveSettings,https://w3id.org/reproduceme#ObjectiveSettings,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Manufacturer,https://w3id.org/reproduceme#Manufacturer,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/RegionOfInterest,https://w3id.org/reproduceme#ROI,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/DetectorSettings,https://w3id.org/reproduceme#DetectorSetting,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Shape,https://w3id.org/reproduceme#Shape,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/LightSourceSettings,https://w3id.org/reproduceme#LightSettings,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/GenericExcitationSource,https://w3id.org/reproduceme#GenericExcitationSource,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Screen,https://w3id.org/reproduceme#Screen,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Channel,https://w3id.org/reproduceme#Channel,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Filter,https://w3id.org/reproduceme#Filter,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Pixels,https://w3id.org/reproduceme#Pixels,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ExperimentType,https://w3id.org/reproduceme#ExperimentType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Reagent,https://w3id.org/reproduceme#Reagent,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Dataset,https://w3id.org/reproduceme#Dataset,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/LightPath,https://w3id.org/reproduceme#LightPath,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/NamingConvention,https://w3id.org/reproduceme#RowNamingConvention,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Settings,https://w3id.org/reproduceme#Setting,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Binning,https://w3id.org/reproduceme#Binning,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/PixelType,https://w3id.org/reproduceme#PixelsType,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/WellSample,https://w3id.org/reproduceme#WellSample,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Dichroic,https://w3id.org/reproduceme#Dichroic,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Medium,https://w3id.org/reproduceme#Medium,1
http://www.openmicroscopy.org/rdf/2016-06/ome_core/ManufacturerSpec,https://w3id.org/reproduceme#ManufactuerSpec,1
