Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
PlateAcquisition,PlateAcquisition,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
FilterType,FilterType,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Image,Image,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Plate,Plate,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
LightEmittingDiode,LightEmittingDiode,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
LightSource,LightSource,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
ExperimenterGroup,ExperimenterGroupConfig,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Model,Model,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
ImagingEnvironment,ImagingEnvironment,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
AcquisitionMode,AcquisitionMode,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Protocol,Protocol,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
DetectorType,DetectorType,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
FilamentType,FilamentType,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
ArcType,ArcType,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
StageLabel,StageLabel,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Laser,Laser,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Arc,Arc,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
ContrastMethod,ContrastMethod,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Correction,Correction,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
ObjectiveSettings,ObjectiveSettings,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Manufacturer,Manufacturer,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
RegionOfInterest,ROI,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
DetectorSettings,DetectorSetting,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Shape,Shape,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
LightSourceSettings,LightSettings,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
GenericExcitationSource,GenericExcitationSource,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Screen,Screen,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Channel,Channel,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Filter,Filter,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Pixels,Pixels,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
ExperimentType,ExperimentType,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Reagent,Reagent,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Dataset,Dataset,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
LightPath,LightPath,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
NamingConvention,RowNamingConvention,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Settings,Setting,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Binning,Binning,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
PixelType,PixelsType,False,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
WellSample,WellSample,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
Dichroic,Dichroic,True,False,http://www.openmicroscopy.org/rdf/2016-06/ome_core,https://w3id.org/reproduceme,1
