#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.openmicroscopy.org/rdf/2016-06/ome_core/theT	the t	http://www.openmicroscopy.org/rdf/theT	http://www.openmicroscopy.org/rdf/theT	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/wellType	well type	http://metadb.riken.jp/db/ome/wellType	http://metadb.riken.jp/db/ome/wellType	NaN	2	AML;LogMap	2	AML;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/experiment	experiment	http://www.openmicroscopy.org/rdf/experiment	http://www.openmicroscopy.org/rdf/experiment	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/cutIn	cut in	http://www.openmicroscopy.org/rdf/cutIn	http://www.openmicroscopy.org/rdf/cutIn	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/MicrobeamManipuration	microbeam manipuration	http://www.openmicroscopy.org/rdf/MicrobeamManippuration	http://www.openmicroscopy.org/rdf/MicrobeamManippuration	NaN	2	AML;LogMap	2	AML;LogMap
http://www.openmicroscopy.org/rdf/2016-06/ome_core/StructuredAnnotation	structured annimation	http://www.openmicroscopy.org/rdf/StructuredAnnotation	http://www.openmicroscopy.org/rdf/StructuredAnnotation	NaN	2	AML;LogMap	2	AML;LogMap
http://www.openmicroscopy.org/rdf/2016-06/ome_core/commentAnnotationValue	comment annotation value	http://www.openmicroscopy.org/rdf/commentAnnotationValue	http://www.openmicroscopy.org/rdf/commentAnnotationValue	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Color	color	http://www.openmicroscopy.org/rdf/Color	http://www.openmicroscopy.org/rdf/Color	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/theC	the c	http://www.openmicroscopy.org/rdf/theC	http://www.openmicroscopy.org/rdf/theC	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/reagentSet	reagent set	http://www.openmicroscopy.org/rdf/reagentSet	http://www.openmicroscopy.org/rdf/reagentSet	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/height	height	http://www.openmicroscopy.org/rdf/height	http://www.openmicroscopy.org/rdf/height	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/transmittanceRange	transmittance range	http://www.openmicroscopy.org/rdf/transmittanceRange	http://www.openmicroscopy.org/rdf/transmittanceRange	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/emissionFilter	emission filter	http://www.openmicroscopy.org/rdf/emissionFilter	http://www.openmicroscopy.org/rdf/emissionFilter	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/rediusX	redius x	http://www.openmicroscopy.org/rdf/rediusX	http://www.openmicroscopy.org/rdf/rediusX	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/rediusY	redius y	http://www.openmicroscopy.org/rdf/rediusY	http://www.openmicroscopy.org/rdf/rediusY	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/illuminationType	illumination type	http://www.openmicroscopy.org/rdf/illuminationType	http://www.openmicroscopy.org/rdf/illuminationType	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/fillColor	fill color	http://www.openmicroscopy.org/rdf/fillColor	http://www.openmicroscopy.org/rdf/fillColor	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/compression	compression	http://www.openmicroscopy.org/rdf/compression	http://www.openmicroscopy.org/rdf/compression	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/WellSample	well sample	http://www.openmicroscopy.org/rdf/WellSample	http://www.openmicroscopy.org/rdf/WellSample	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/markerEnd	maker end	http://www.openmicroscopy.org/rdf/markerEnd	http://www.openmicroscopy.org/rdf/markerEnd	NaN	2	AML;LogMap	2	AML;LogMap
http://www.openmicroscopy.org/rdf/2016-06/ome_core/column	column	http://metadb.riken.jp/db/ome/column	http://metadb.riken.jp/db/ome/column	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/filterWheel	filter wheel	http://metadb.riken.jp/db/ome/filterWheel	http://metadb.riken.jp/db/ome/filterWheel	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/pixcelType	pixcel type	http://www.openmicroscopy.org/rdf/pixcelType	http://www.openmicroscopy.org/rdf/pixcelType	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/manufacturerSpec	manufacturer spec	http://www.openmicroscopy.org/rdf/manufacturerSpec	http://www.openmicroscopy.org/rdf/manufacturerSpec	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/EmissionFilter	emissionfilter	http://www.openmicroscopy.org/rdf/EmissionFilter	http://www.openmicroscopy.org/rdf/EmissionFilter	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/endTime	end time	http://www.openmicroscopy.org/rdf/endTime	http://www.openmicroscopy.org/rdf/endTime	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/excitationWavelength	excitation wavelength	http://www.openmicroscopy.org/rdf/excitationWavelength	http://www.openmicroscopy.org/rdf/excitationWavelength	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/iris	iris	http://www.openmicroscopy.org/rdf/iris	http://www.openmicroscopy.org/rdf/iris	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Line	line	http://www.openmicroscopy.org/rdf/Line	http://www.openmicroscopy.org/rdf/Line	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/manufacturer	manufacturer	http://www.openmicroscopy.org/rdf/manufacturer	http://www.openmicroscopy.org/rdf/manufacturer	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/key	key	http://www.openmicroscopy.org/rdf/key	http://www.openmicroscopy.org/rdf/key	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
http://www.openmicroscopy.org/rdf/2016-06/ome_core/Filter	filter	http://www.openmicroscopy.org/rdf/Filter	http://www.openmicroscopy.org/rdf/Filter	NaN	2	AML;LogMap	3	AML;LogMap;LogMapLt
