Class1,Class2,Score
http://purl.org/spar/pwo/Workflow,http://purl.org/wf4ever/wfdesc#Workflow,0
http://purl.org/net/p-plan#Step,http://purl.org/spar/pwo/Step,0
http://www.w3.org/ns/prov#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0
http://purl.dataone.org/provone/2015/01/15/ontology#Workflow,http://purl.org/spar/pwo/Workflow,0
http://rdfs.org/ns/void#Dataset,http://purl.org/wf4ever/wf4ever#Dataset,0
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfprov#Artifact,0
http://purl.org/spar/pwo/Workflow,http://purl.org/wf4ever/wfdesc#Workflow,0
http://purl.org/net/p-plan#Plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl#Plan,0
http://purl.org/net/p-plan#Step,http://purl.org/spar/pwo/Step,0
http://openprovenance.org/model/opmo#hasArtifact,http://purl.org/wf4ever/wfdesc#hasArtifact,0
http://purl.org/net/opmv/ns#Artifact,http://purl.org/wf4ever/wfdesc#Artifact,0
http://purl.org/net/opmv/ns#Process,http://purl.org/wf4ever/wfdesc#Process,0
http://openprovenance.org/model/opmo#Entity,http://www.w3.org/ns/prov#Entity,0
http://purl.org/net/opmv/ns#Agent,http://www.w3.org/ns/prov#Agent,0
http://purl.org/wf4ever/ro,http://purl.org/wf4ever/wfdesc,0
http://purl.dataone.org/provone/2015/01/15/ontology#Workflow,http://purl.org/wf4ever/wfdesc#Workflow,0
http://purl.dataone.org/provone/2015/01/15/ontology#Document,http://purl.org/wf4ever/wf4ever#Document,0
